Musa acuminata, 103994668, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Musa acuminata, 103998913, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Musa acuminata, 103983923, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Musa acuminata, 103970996, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Musa acuminata, 103970696, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Musa acuminata, 103986978, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Musa acuminata, 103978737, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Musa acuminata, 103986020, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Musa acuminata, 103972072, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Musa acuminata, 103978658, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103980348, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103998763, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103974741, inositol 4-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103974740, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103973932, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103971944, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103982815, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103975177, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Musa acuminata, 103979304, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Musa acuminata, 103981314, cinnamyl alcohol dehydrogenase 2 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Musa acuminata, 103980742, cinnamyl alcohol dehydrogenase 2-like  [EC], ['EC:1.1.1.195'], KO:K00083
Musa acuminata, 103971996, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Musa acuminata, 103973703, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Musa acuminata, 103980763, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103987820, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103987821, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103987822, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103995715, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103991241, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103991242, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103990806, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103975461, peroxidase P7-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103975462, peroxidase P7-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103969414, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103969415, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103969416, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103970253, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103996965, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103972232, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103977825, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103976746, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103992527, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103992529, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103970847, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103977476, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103985683, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
