Juglans regia, 109000585, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Juglans regia, 118344424, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Juglans regia, 108982908, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Juglans regia, 109005703, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Juglans regia, 109021331, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like isoform X1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Juglans regia, 109004406, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
