Gossypium raimondii, 105793944, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Gossypium raimondii, 105764705, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Gossypium raimondii, 105791781, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Gossypium raimondii, 105773681, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Gossypium raimondii, 105767875, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Gossypium raimondii, 105772168, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Gossypium raimondii, 105772155, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Gossypium raimondii, 105773680, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Gossypium raimondii, 105774497, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Gossypium raimondii, 105803319, anthocyanidin 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
