Capsicum annuum, 107876989, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Capsicum annuum, 107872096, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Capsicum annuum, 107843659, UFGT; anthocyanidin 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.115'], KO:K12930
Capsicum annuum, 107843660, anthocyanidin 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.115'], KO:K12930
Capsicum annuum, 107870274, UDP-glycosyltransferase 79B6-like  [EC], ['EC:2.4.2.51'], KO:K17193
