APIACEAE#SPHALLEROCARPUS GRACILIS#APIGENIN-7-BETA-D-GLUCOPYRANOSIDE
APIACEAE#TORILIS ARVENSIS#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS BRACTEOSA#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS NODOSA#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS RADIATA#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS TENELLA#APIGENIN GLUCOSIDE
APOCYNACEAE#ICHNOCARPUS FRUTESCENS#APIGENIN
APOCYNACEAE#KOPSIA FRUTICOSA#APIGENIN
APOCYNACEAE#THEVETIA PERUVIANA#APIGENIN,4'-5-7-TRI-O-METHYL:#APIGENIN,4'-5-DI-O-METHYL:
APOCYNACEAE#TRACHELOSPERMUM AXILLARE#APIGENIN#APIGENIN-7-O-BETA-D-NEOHESPERIDOSIDE#APIGENIN-7-O-BETA-GENTIOBIOSIDE
APOCYNACEAE#TRACHELOSPERMUM GRACILIPES#APIGENIN-7-O-DIGLUCOSIDE#APIGENIN-7-O-NEOHESPERIDOSIDE#APIGENIN-7-O-RUTINOSIDE
APOCYNACEAE#TRACHELOSPERMUM JASMINOIDES#APIGENIN#APIGENIN-7-O-GENTIOBIOSIDE#APIGENIN-7-O-NEOHESPERIDOSIDE
APOCYNACEAE#TRACHELOSPERMUM JASMINOIDES_VAR.PUBESCENS#APIGENIN-7-O-BETA-D-GENTIOSIDE
AQUIFOLIACEAE#ILEX BELIZENSIS#APIGENIN
AQUIFOLIACEAE#ILEX COLCHICA#APIGENIN-5-O-BETA-D-GLUCOSYL-RHAMNOSYL-7-ARABINOSIDE
AQUIFOLIACEAE#ILEX LEUCOCLADA#APIGENIN
ARACEAE#ARUM MACULATUM#APIGENIN
ARACEAE#ARUM ORIENTALE#APIGENIN
ARACEAE#ASTEROSTIGMA RIEDELIANUM#APIGENIN-4'-7-DIMETHYL#APIGENIN-4'-7-DIMETHYL ETHER-2''-O-(CAFFEOYL)-GLUCOSYL-6-C-ARABINOSIDE#APIGENIN-4'-7-DIMETHYL ETHER-6-8-DI-C-ARABINOSIDE#APIGENIN-7-METHYL ETHER-6-C-ARABINOSIDE#ETHER-2''-O-GLUCOSYL-6-C-ARABINOSIDE
ARACEAE#COLOCASIA ESCULENTA#APIGENIN
ARACEAE#DRACUNCULUS VULGARIS#APIGENIN
ARACEAE#PHILODENDRON BIPINNATIFIDUM#APIGENIN
ARACEAE#SYNANDROSPADIX VERMITOXICUS#APIGENIN
ARACEAE#XANTHOSOMA VIOLACEUM#APIGENIN-6-C-BETA-D-GLUCOPYRANOSYL-8-C-BETA-D-APIOFURANOSIDE
ARECACEAE#PHOENIX CANARIENSIS#APIGENIN-7-O-BETA-D-GLUCOSIDE SULFATE
ARECACEAE#PHOENIX DACTYLIFERA#APIGENIN
ARISTOLOCHIACEAE#ARISTOLOCHIA CUCURBITIFOLIA#APIGENIN
ASCLEPIADACEAE#HOYA AUSTRALIS#APIGENIN-7-(FERULYL-GLUCOSIDE)
ASCLEPIADACEAE#HOYA LACUNOSA#APIGENIN-6-8-DI-C-ARABINOSIDE
ASCLEPIADACEAE#LEPTADENIA HETEROPHYLLA#APIGENIN
ASCLEPIADACEAE#LEPTADENIA RETICULATA#APIGENIN
ASCLEPIADACEAE#PARQUETINA NIGRESCENS#APIGENIN
ASCLEPIADACEAE#STAPELIA HIRSUTA#APIGENIN
ASPLENIACEAE#ASPLENIUM NORMALE_VAR.NORMALE#APIGENIN-7-O-ALPHA-L-DIRHAMNOSIDE#APIGENIN-7-O-ALPHA-L-RHAMNOSIDE-4'-O-ALPHA-L-GLUCOSYL-RHAMNOSIDE
ASPLENIACEAE#ASPLENIUM NORMALE_VAR.SHIMURAE#APIGENIN-7-GLUCOSYL-RHAMNOSIDE
ASPLENIACEAE#ASPLENIUM VIVIPARUM#APIGENIN-3-6-8-TRI-C-XYLOSIDE
ASTERACEAE#ACHILLEA ASIATICA#APIGENIN
ASTERACEAE#ACHILLEA ATRATA_SSP.MULTIFIDA#APIGENIN
ASTERACEAE#ACHILLEA CARTILAGINEA#APIGENIN#APIGENIN-7-O-BETA-D-GLUCOFURANOSIDE#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#ACHILLEA COLLINA#APIGENIN-7-O-RUTINOSIDE
ASTERACEAE#ACHILLEA CRITHMIFOLIA#APIGENIN
ASTERACEAE#ACHILLEA ERBA-ROTTA_SSP.AMBIGUA#APIGENIN
ASTERACEAE#ACHILLEA ERIOPHORA#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#ACHILLEA FRAGRANTISSIMA#APIGENIN
ASTERACEAE#ACHILLEA LIGUSTICA#APIGENIN
ASTERACEAE#ACHILLEA MILLEFOLIUM#APIGENIN
ASTERACEAE#ACHILLEA MILLEFOLIUM_SSP.ALPESTRIS#APIGENIN#APIGENIN-7-MALONYL-GLUCOSIDE
ASTERACEAE#ACHILLEA MILLEFOLIUM_SSP.CERETANUM#APIGENIN#APIGENIN-7-MALONYL-GLUCOSIDE
ASTERACEAE#ACHILLEA MILLEFOLIUM_SSP.MILLEFOLIUM#APIGENIN#APIGENIN-7-MALONYL-GLUCOSIDE
ASTERACEAE#ACHILLEA PANNONICA#APIGENIN#APIGENIN-7-O-RUTINOSIDE
ASTERACEAE#ACHILLEA SETACEA#APIGENIN-DI-C-GLYCOSIDE
ASTERACEAE#ACHILLEA UMBELLATA#APIGENIN
ASTERACEAE#ACHYROCLINE ALATA#APIGENIN
ASTERACEAE#AGERATINA CALOPHYLLA#APIGENIN,6-METHOXY:
ASTERACEAE#AGERATINA HAVANENSIS#APIGENIN,DIHYDRO: 7-METHYL ETHER 5-O-BETA-D-GLUCOSIDE
ASTERACEAE#AGERATINA TOMENTELLA#APIGENIN,6-METHOXY:
ASTERACEAE#AJANIA SPECIES#APIGENIN
ASTERACEAE#AMBROSIA ARTEMISIOIDES#APIGENIN
ASTERACEAE#AMBROSIA MARITIMA#APIGENIN
ASTERACEAE#ANAPHALIS CONTORTA#APIGENIN
ASTERACEAE#ANDRYALA RAGUSINA#APIGENIN#APIGENIN-7-O-NEOHESPERIDOSIDE
ASTERACEAE#ANTENNARIA DIOICA#APIGENIN#APIGENIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#ANTHEMIS ALTISSIMA#APIGENIN
ASTERACEAE#ANTHEMIS COTULA#APIGENIN
ASTERACEAE#ANTHEMIS CRETICA#APIGENIN
ASTERACEAE#ANTHEMIS MARITIMA#APIGENIN
ASTERACEAE#ANTHEMIS NIGRESCENS#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#ANTHEMIS NOBILIS#APIGENIN#APIGENIN-7-O-APIDGLUCOSIDE#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#ANTHEMIS PSEUDOCOTULA#APIGENIN
ASTERACEAE#APHYLLOCLADUS DENTICULATUS_VAR.DENTICULATUS#APIGENIN
ASTERACEAE#ARNICA AMPLEXICAULIS#APIGENIN#APIGENIN,4'-6-DIMETHOXY:#APIGENIN,4'-METHYL:#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA CHAMISSONIS_SSP.CHAMISSONIS#APIGENIN#APIGENIN,4'-6-DIMETHOXY:#APIGENIN,4'-METHYL:#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA CHAMISSONIS_SSP.FOLIOSA#APIGENIN#APIGENIN,4'-6-DIMETHOXY:#APIGENIN,4'-METHYL:#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA CHAMISSONIS_SSP.FOLIOSA_VAR.INCANA#APIGENIN#APIGENIN,4'-6-DIMETHOXY:#APIGENIN,4'-METHYL:#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA CORDIFOLIA#APIGENIN,6-METHOXY:#APIGENIN,7-METHOXY:
ASTERACEAE#ARNICA FULGENS#APIGENIN
ASTERACEAE#ARNICA GRACILIS#APIGENIN,6-METHOXY:
ASTERACEAE#ARNICA LONGIFOLIA#APIGENIN#APIGENIN-4'-7-DIMETHYL ETHER#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA MOLLIS#APIGENIN#APIGENIN,4'-6-DIMETHOXY:#APIGENIN,4'-7-DIMETHYL:#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA NEVADENSIS#APIGENIN,6-METHOXY:
ASTERACEAE#ARNICA PARRYI_SSP.SONNEI#APIGENIN#APIGENIN,4'-6-DIMETHOXY:#APIGENIN,4'-METHYL:#APIGENIN-6-METHYL ETHER
ASTERACEAE#ARNICA SORORIA#APIGENIN
ASTERACEAE#ARNICA SPATHULATA#APIGENIN,6-METHOXY:#APIGENIN,7-METHOXY:
ASTERACEAE#ARNICA VENOSA#APIGENIN,6-METHOXY:#APIGENIN,7-METHOXY:
ASTERACEAE#ARNICA VISCOSA#APIGENIN,6-7-DIMETHOXY:#APIGENIN,6-METHOXY:#APIGENIN,7-METHOXY:
ASTERACEAE#ARTEMISIA ABSINTHIUM#APIGENIN
ASTERACEAE#ARTEMISIA AFRA#APIGENIN
ASTERACEAE#ARTEMISIA ANNUA#APIGENIN
ASTERACEAE#ARTEMISIA ARBORESCENS#APIGENIN
ASTERACEAE#ARTEMISIA ARGYI#APIGENIN
ASTERACEAE#ARTEMISIA ASSOANA#APIGENIN
ASTERACEAE#ARTEMISIA AUSTRIACA#APIGENIN
ASTERACEAE#ARTEMISIA CAPILLARIS#APIGENIN
ASTERACEAE#ARTEMISIA CAUCASICA#APIGENIN
ASTERACEAE#ARTEMISIA CHAMOMILLIFOLIA#APIGENIN,4'-7-DIMETHYL:
ASTERACEAE#ARTEMISIA DIFFUSA#APIGENIN#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA FRIGIDA#APIGENIN
ASTERACEAE#ARTEMISIA GMELINII#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA HERBA-ALBA#APIGENIN
ASTERACEAE#ARTEMISIA HISPANICA#APIGENIN
ASTERACEAE#ARTEMISIA IWAYOMOGI#APIGENIN-4'-7-DI-O-METHYL ETHER
ASTERACEAE#ARTEMISIA JUDAICA#APIGENIN#APIGENIN-4'-BETA-D-GLUCOPYRANOSIDE#APIGENIN-7-BETA-D-GLUCOURONIDE#APIGENIN-7-DIGLUCURONIDE#APIGENIN-7-GENTIOBIOSIDE#APIGENIN-7-RUTINOSIDE
ASTERACEAE#ARTEMISIA LESSINGIANA#APIGENIN
ASTERACEAE#ARTEMISIA LINDLEYANA#APIGENIN,3-6-DIMETHOXY:
ASTERACEAE#ARTEMISIA LUDOVICIANA_VAR.LUDOVICIANA#APIGENIN
ASTERACEAE#ARTEMISIA MINOR#APIGENIN
ASTERACEAE#ARTEMISIA MONOSPERMA#APIGENIN
ASTERACEAE#ARTEMISIA MONTANA#APIGENIN
ASTERACEAE#ARTEMISIA NOVA#APIGENIN
ASTERACEAE#ARTEMISIA OLIVERIANA#APIGENIN#APIGENIN,4-METHYL:#APIGENIN,7-METHYL:
ASTERACEAE#ARTEMISIA PONTICA#APIGENIN#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA SALSOLOIDES#APIGENIN#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA SPICIGERA#APIGENIN
ASTERACEAE#ARTEMISIA STELLERIANA#APIGENIN
ASTERACEAE#ARTEMISIA TRIDENTATA_SSP.WYOMINGENSIS#APIGENIN
ASTERACEAE#ARTEMISIA VULGARIS#APIGENIN
ASTERACEAE#ASANTHUS THRYSIFLORUS#APIGENIN-6-METHYL ETHER
ASTERACEAE#ASTER BRACTEOLATUS#APIGENIN#APIGENIN-7-O-GALACTOSIDE
ASTERACEAE#ASTER SOULIEI#APIGENIN
ASTERACEAE#ASTER SUBULATUS_VAR.LIGULATUS#APIGENIN#APIGENIN-7-O-BETA-D-GALACTOSIDE
ASTERACEAE#ASTERISCUS PYGMAEUS#APIGENIN
ASTERACEAE#BACCHARIS ARTICULATA#APIGENIN,4'-7-DIMETHYL:
ASTERACEAE#BACCHARIS BIGELOVII#APIGENIN
ASTERACEAE#BACCHARIS CRISPA#APIGENIN#APIGENIN,4'-7-DIMETHYL:
ASTERACEAE#BACCHARIS GAUDICHAUDIANA#APIGENIN
ASTERACEAE#BACCHARIS GENISTELLOIDES#APIGENIN
ASTERACEAE#BACCHARIS HETEROPHYLLA#APIGENIN
ASTERACEAE#BACCHARIS NOTOSERGILA#APIGENIN
ASTERACEAE#BACCHARIS PEDICELLATA#APIGENIN
ASTERACEAE#BACCHARIS PTERONIOIDES#APIGENIN
ASTERACEAE#BACCHARIS SALICIFOLIA#APIGENIN
ASTERACEAE#BACCHARIS SPHAEROCEPHALA#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#BACCHARIS TRIMERA#APIGENIN
ASTERACEAE#BACCHARIS TRINERVIS#APIGENIN#APIGENIN,4'-7-DIMETHYL:
ASTERACEAE#BACCHARIS VACCINIOIDES#APIGENIN#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#BELLIS PERENNIS#APIGENIN#APIGENIN-7-O-(6''-TRANS-CAFFEOYL)-BETA-D-GLUCOSIDE#APIGENIN-7-O-BETA-D-GLUCURONIDE#APIGENIN-7-O-BETA-D-METHYL-GLUCURONIDE
ASTERACEAE#BERLANDIERA TEXANA_VAR.TEXANA#APIGENIN,6-METHOXY:
ASTERACEAE#BIDENS FRONDOSA#APIGENIN
ASTERACEAE#BLUMEA OBLIQUA#APIGENIN
ASTERACEAE#BOLTONIA ASTEROIDES_VAR.ASTEROIDES#APIGENIN
ASTERACEAE#CALEA DIVARICATA#APIGENIN
ASTERACEAE#CALEA SEPTUPLINERVIA#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#CALEA ZACATECHICHI#APIGENIN-4'-7-DIMETHYL ETHER
ASTERACEAE#CARDUUS ASSOI#APIGENIN
ASTERACEAE#CARDUUS CRISPUS#APIGENIN
ASTERACEAE#CARDUUS NUTANS#APIGENIN
ASTERACEAE#CARDUUS PYCNOCEPHALUS#APIGENIN
ASTERACEAE#CARDUUS TENUIFLORUS#APIGENIN
ASTERACEAE#CARLINA ACANTHIFOLIA#APIGENIN-8-C-GALACTOSIDE
ASTERACEAE#CARTHAMUS LANATUS#APIGENIN
ASTERACEAE#CARTHAMUS TINCTORIUS#APIGENIN#APIGENIN-6-C-BETA-D-GLUCOPYRANOSYL-8-C-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#CATANANCHE CAERULEA#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CENTAUREA ALEXANDRINA#APIGENIN#APIGENIN-7-GALACTURONIC METHYL ESTER
ASTERACEAE#CENTAUREA AMANICOLA#APIGENIN
ASTERACEAE#CENTAUREA ASPERA#APIGENIN-4'-O-BETA-D-GLUCURONIDE#APIGENIN-7-O-(4-ETHYL-GLUCURONIDE)#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CENTAUREA ASPERA_VAR.STENOPHYLLA#APIGENIN#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CENTAUREA BRACTEATA#APIGENIN,6-METHOXY:
ASTERACEAE#CENTAUREA CALCITRAPA#APIGENIN-7-GALACTURONIC METHYL ESTER
ASTERACEAE#CENTAUREA CHILENSIS#APIGENIN,8-METHOXY:
ASTERACEAE#CENTAUREA COLLINA#APIGENIN,6-METHOXY-4'-METHYL:
ASTERACEAE#CENTAUREA COLLINA_SSP.COLLINA#APIGENIN
ASTERACEAE#CENTAUREA CORONOPIFOLIA#APIGENIN,6-METHOXY:
ASTERACEAE#CENTAUREA CYANUS#APIGENIN#APIGENIN 4'-O-(6-O-MALONYL-BETA-D-GLUCOSIDE)-7-O-BETA-D-GLUCURONIDE#APIGENIN-4'-O-BETA-D-GLUCOSIDE#APIGENIN-4'-O-BETA-D-GLUCOSIDE-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CENTAUREA DERVENTANA#APIGENIN
ASTERACEAE#CENTAUREA FURFURACEA#APIGENIN#APIGENIN-7-O-METHYL-GLUCURONIDE
ASTERACEAE#CENTAUREA GLOMERATA#APIGENIN-7-GALACTURONIC METHYL ESTER
ASTERACEAE#CENTAUREA HORRIDA#APIGENIN#APIGENIN-3-O-BETA-D-GLUCURONIDE#APIGENIN-6-C-ALPHA-L-ARABINOPYRANOSIDE#APIGENIN-8-C-ALPHA-L-ARABINOPYANOSIDE
ASTERACEAE#CENTAUREA INCANA#APIGENIN,6-METHOXY:#APIGENIN-2''-O-GLUCOSYL-6-C-GLUCOSIDE#APIGENIN-6-8-DI-C-GLUCOSIDE#APIGENIN-7-METHYL-GALACTURONIDE
ASTERACEAE#CENTAUREA INERMIS#APIGENIN
ASTERACEAE#CENTAUREA JACEA#APIGENIN
ASTERACEAE#CENTAUREA KILAEA#APIGENIN
ASTERACEAE#CENTAUREA MACROCEPHALA#APIGENIN
ASTERACEAE#CENTAUREA MONTANA#APIGENIN-4'-O-BETA-D-GLUCOSYL-7-O-BETA-D-GLUCURONIDE#APIGENIN-4'-O-GLUCOSIDE#APIGENIN-4'-O-RHAMNOSYL-6-C-GLUCOSIDE#APIGENIN-7-DI-O-GLUCOSIDE#APIGENIN-7-O-GLUCOSIDE,6-HYDROXY:
ASTERACEAE#CENTAUREA NIGRA#APIGENIN
ASTERACEAE#CENTAUREA ORPHANIDEA#APIGENIN
ASTERACEAE#CENTAUREA PALLESCENS#APIGENIN#APIGENIN-7-GALACTURONIC METHYL ESTER
ASTERACEAE#CENTAUREA PICHLERI_SSP.PICHLERI#APIGENIN#APIGENIN,6-HYDROXY-4'-METHOXY: 7-O-BETA-D-GLUCOSIDE#APIGENIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#CENTAUREA PSEUDO-PHRYGIA#APIGENIN
ASTERACEAE#CENTAUREA PSEUDOMACULOSA#APIGENIN
ASTERACEAE#CENTAUREA SCABIOSA#APIGENIN
ASTERACEAE#CENTAUREA SCOPARIA#APIGENIN
ASTERACEAE#CENTAUREA TRIUMFETTI#APIGENIN,6-HYDROXY: 7-GLUCOSIDE#APIGENIN-4'-O-BETA-D-GLUCOSIDE
