ACANTHACEAE#ADHATODA VASICA#QUERCETIN
BRASSICACEAE#SISYMBRIUM ARNOTTIANUM#QUERCETIN-3-4'-DI-O-BETA-D-GLUCOSIDE#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE
BRASSICACEAE#SISYMBRIUM GILLIESII#QUERCETIN-3-4'-DI-O-BETA-D-GLUCOSIDE#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE#QUERCETIN-3-MALONYL-GLUCOSIDE-4'-GLUCOSIDE
BRASSICACEAE#SISYMBRIUM LEPTOCARPUM#QUERCETIN-3-4'-DI-O-BETA-D-GLUCOSIDE#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE
BRASSICACEAE#SISYMBRIUM SUBSCANDENS#QUERCETIN-3-4'-DI-O-BETA-D-GLUCOSIDE#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE
BRYACEAE#BRYUM ALGENS#
BUDDLEJACEAE#BUDDLEJA ASIATICA#QUERCETIN
BUDDLEJACEAE#BUDDLEJA FALLOWIANA#QUERCETIN
BUDDLEJACEAE#BUDDLEJA POLYSTACHYA#QUERCETIN
BURSERACEAE#COMMIPHORA MUKUL#QUERCETIN
BURSERACEAE#PROTIUM GUIANENSE#QUERCETIN
BURSERACEAE#PROTIUM HEPTAPHYLLUM#QUERCETIN
BURSERACEAE#TETRAGASTRIS DUBIUM#QUERCETIN
CACTACEAE#ECHINOCEREUS CHLORANTHUS#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS CHLORANTHUS_var.NEOCAPILLUS#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS DAVISII#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS RUSSANTHUS#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS VIRIDIFLORUS_var.CORRELLII#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS VIRIDIFLORUS_var.CYLINDRICUS#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS VIRIDIFLORUS_var.VIRIDIFLORUS#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#NEOPORTERIA SPECIES#
CACTACEAE#OPUNTIA CHLOROTICA#QUERCETIN
CACTACEAE#OPUNTIA CURVOSPINA#QUERCETIN
CACTACEAE#OPUNTIA DILLENII#QUERCETIN
CACTACEAE#OPUNTIA FICUS-CARICA_var.SABOTEN#QUERCETIN
CACTACEAE#OPUNTIA FICUS-INDICA_var.#QUERCETIN
CACTACEAE#OPUNTIA LITTORALIS_var.LITTORALIS#QUERCETIN
CACTACEAE#OPUNTIA LITTORALIS_var.MARTINIANA#QUERCETIN
CACTACEAE#OPUNTIA PHAEACANTHA_var.DISCATA#QUERCETIN
CACTACEAE#OPUNTIA PHAEACANTHA_var.MAJOR#QUERCETIN
CACTACEAE#PARODIA SANGUINIFLORA#
CACTACEAE#PERESKIA ACULEATA#QUERCETIN
CALYCERACEAE#BOOPIS GRAMINEA#QUERCETIN,6-METHOXY:
CALYCERACEAE#CALYCERA CRASSIFOLIA#QUERCETIN,6-METHOXY:
CALYCERACEAE#CALYCERA ERYNGIOIDES#QUERCETIN,6-METHOXY:
CALYCERACEAE#CALYCERA HERBACEA#QUERCETIN,6-METHOXY:
CALYCERACEAE#CALYCERA LEUCANTHEMA#QUERCETIN,6-METHOXY:
CALYCERACEAE#CALYCERA SPINULOSA#QUERCETIN,6-METHOXY:
CALYCERACEAE#CALYCERA SYMPANGANTHERA#QUERCETIN,6-METHOXY:
CALYCERACEAE#NASTANTHUS SPATHULATUS#QUERCETIN,6-METHOXY:
CAMPANULACEAE#ADENOPHORA REMOTIFLORA_var.HIRTICALYX#QUERCETIN
CAMPANULACEAE#CAMPANULA ALLIARIAEFOLIA#QUERCETIN
CAMPANULACEAE#CAMPANULA AMERICANA#QUERCETIN
CAMPANULACEAE#CAMPANULA BONONIENSIS#QUERCETIN-3-7-DIGLUCOSIDE#QUERCETIN-3-APIOGLUCOSIDE
CAMPANULACEAE#CAMPANULA LETSCHCHUMENSIS#QUERCETIN
CAMPANULACEAE#CAMPANULA PERSICIFOLIA#QUERCETIN-3-O-BETA-RUTINOSIDE-7-O-BETA-D-GLUCOSIDE
CAMPANULACEAE#CAMPANULA RAPUNCULOIDES#BIOQUERCETIN
CAMPANULACEAE#PLATYCODON GRANDIFLORUM#QUERCETIN-7-O-RUTINOSIDE
CAMPANULACEAE#SYMPHYANDRA ZANGEZURA#QUERCETIN
CANELLACEAE#WARBURGIA STUHLMANNII#QUERCETIN#QUERCETIN-3-O-SOPHOROSIDE
CANELLACEAE#WARBURGIA UGANDENSIS#QUERCETIN#QUERCETIN-3-O-O-[BETA-GLUCOSYL(1-2)]-[ALPHA-RHAMNOSYL(1-6)]-SETA-D-GLUCOSIDE-7-O-ALPHA-RHAMNOSIDE
CANNABACEAE#CANNABIS SATIVA#QUERCETIN
CANNABACEAE#HUMULUS LUPULUS#QUERCETIN#QUERCETIN-3-RHAMNODIGLUCOSIDE
CANNACEAE#CANNA COCCINEA#QUERCETIN
CANNACEAE#CANNA DENUDATA#QUERCETIN
CAPPARIDACEAE#CAPPARIS ATAMISQUEA#QUERCETIN
CAPPARIDACEAE#CAPPARIS CARTILAGINEA#QUERCETIN-3-GLUCOSIDE-7-RHAMNOSIDE
CAPPARIDACEAE#CAPPARIS CORYMBOSA#QUERCETIN
CAPPARIDACEAE#CAPPARIS CYNOPHALLOPHORA_var.PUBESCENS#QUERCETIN
CAPPARIDACEAE#CAPPARIS DECIDUA#QUERCETIN-3-GLUCOSIDE-7-RHAMNOSIDE
CAPPARIDACEAE#CAPPARIS RETUSA#QUERCETIN
CAPPARIDACEAE#CAPPARIS SPECIOSA#QUERCETIN
CAPPARIDACEAE#CAPPARIS SPINOSA#QUERCETIN#QUERCETIN-3-GLUCOSIDE-7-RHAMNOSIDE#QUERCETIN-3-O-(6''-ALPHA-L-RHAMNOSYL-6''-BETA-D-GLUCOSYL)-BETA-D-GLUCOSIDE#QUERCETIN-3-O-BETA-D-GLUCOSYL-7-O-RHAMNOSIDE#QUERCETIN-7-O-BETA-D-GLUCOPYRANOSYL-BETA-L-RHAMNOSIDE
CAPPARIDACEAE#CAPPARIS TWEEDIANA#QUERCETIN
CAPPARIDACEAE#CLEOME AFRICANA#QUERCETIN#QUERCETIN-3-O-BETA-D-GLUCOSIDE-7-O-ALPHA-RHAMNOSIDE
CAPPARIDACEAE#CLEOME AMBLYOCARPA#QUERCETIN-3-7-DIRHAMNOSIDE#QUERCETIN-7-RHAMNOSIDE
CAPPARIDACEAE#CLEOME BRACHYCARPA#QUERCETIN-3-7-O-ALPHA-DIRHAMNOSIDE#QUERCETIN-7-RHAMNOSIDE
CAPPARIDACEAE#CLEOME CHRYSANTHA#QUERCETIN-3-7-DIRHAMNOSIDE
CAPPARIDACEAE#CLEOME DROSERIFOLIA#QUERCETIN-3-7-DIRHAMNOSIDE#QUERCETIN-3-O-GLUCOSYL-7-O-RHAMNOSIDE
CAPPARIDACEAE#POLANISIA DODECANDRA#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL-7-O-ALPHA-L-RHAMNOPYRANOSIDE
CAPPARIDACEAE#POLANISIA TRACHYSPERMA#
CAPRIFOLIACEAE#LONICERA JAPONICA#QUERCETIN
CAPRIFOLIACEAE#LONICERA MICROPHYLLA#QUERCETIN
CAPRIFOLIACEAE#LONICERA SIMILIS#QUERCETIN
CAPRIFOLIACEAE#SAMBUCUS CANADENSIS#QUERCETIN
CAPRIFOLIACEAE#SAMBUCUS NIGRA#QUERCETIN#QUERCETIN-3-4-5-7-TETRA-O-METHYL#QUERCETIN-3-O-NEOHESPERIDOSIDE
CAPRIFOLIACEAE#SAMBUCUS RACEMOSA#QUERCETIN
CAPRIFOLIACEAE#SAMBUCUS SPECIES#QUERCETIN
CAPRIFOLIACEAE#SAMBUCUS WILLIAMSII#QUERCETIN
CAPRIFOLIACEAE#SYMPHORICARPOS ALBUS#QUERCETIN#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE
CAPRIFOLIACEAE#SYMPHORICARPOS RACEMOSUS#QUERCETIN,ISO:
CAPRIFOLIACEAE#VIBURNUM AWABUKII#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-SOPHOROSIDE
CAPRIFOLIACEAE#VIBURNUM BUDDLEIFOLIUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM CARLESII#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM CINNAMOMIFOLIUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM CORYLIFOLIUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM COTINIFOLIUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM CYLINDRICUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM DAVIDII#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM DENTATUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM DILATATUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM FOETENS#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM FOETIDUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM FRAGRANS#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM GRANDIFOLIUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM HENRYI#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM LANTANA#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM LENTAGO#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM LOBOPHYLLUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM MACROCEPHALUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM MONGOLICUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM NERVOSUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM ODORATISSIMUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM OPULUS#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM PLICATUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM RAFINESQUIANUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM RHYTIDOPHYLLUM#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM SARGENTII#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM SYMPODIALE#QUERCETIN
CAPRIFOLIACEAE#VIBURNUM TINUS#QUERCETIN
CARICACEAE#CARICA PAPAYA#QUERCETIN
CARYOPHYLLACEAE#DIANTHUS CARYOPHYLLUS#QUERCETIN
CARYOPHYLLACEAE#DIANTHUS CARYOPHYLLUS_cv.DUCA#QUERCETIN
CARYOPHYLLACEAE#HERNIARIA CILIOLATA_ssp.ROBUSTA#QUERCETIN-3-TRIGLYCOSIDE
CARYOPHYLLACEAE#HERNIARIA GLABRA#QUERCETIN-3-TRIGLUCOSIDE
CARYOPHYLLACEAE#HERNIARIA MAURITANICA#QUERCETIN
CARYOPHYLLACEAE#HERNIARIA POLYGAMA#QUERCETIN
CARYOPHYLLACEAE#HERNIARIA SPECIES#QUERCETIN-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE
CARYOPHYLLACEAE#MINUARTIA ROSSII#QUERCETIN-3-O-BETA-D-SOPHOROSIDE
CARYOPHYLLACEAE#PARONYCHIA DEPRESSA#QUERCETIN
CARYOPHYLLACEAE#PARONYCHIA SESSILIFLORA#QUERCETIN
CARYOPHYLLACEAE#VACCARIA SEGETALIS#QUERCETIN
CELASTRACEAE#CATHA EDULIS#QUERCETIN
CELASTRACEAE#CELASTRUS ORBICULATUS#QUERCETIN-3-O-BETA-D-GLUCOSYL-7-O-ALPHA-L-RHAMNOSIDE
CELASTRACEAE#CELASTRUS TATARINOVII#QUERCETIN-3-O-BETA-D-GLUCOSIDE-7-O-ALPHA-L-RHAMNOSIDE
CELASTRACEAE#EUONYMUS EUROPAEUS#QUERCETIN-3-O-ALPHA-L-RHAMNOSYL-7-O-BETA-D-GLUCOSIDE
CELASTRACEAE#EUONYMUS FORTUNEI_var.RADICANS#QUERCETIN
CELASTRACEAE#EUONYMUS JAPONICUS#QUERCETIN-3-O-BETA-D-GLUCOSYL-7-O-ALPHA-L-RHAMNOSIDE
CELASTRACEAE#EUONYMUS OXYPHYLLUS#QUERCETIN
CELASTRACEAE#EUONYMUS SACROSANCTUS#QUERCETIN
CELASTRACEAE#EUONYMUS SIEBOLDIANUS_var.SANGUINEUS#QUERCETIN
CELASTRACEAE#MAYTENUS AQUIFOLIUM#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-O-[BETA-D-GLUCOPYRANOSYL(1-3)-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-O-BETA-D-GALACTOPYRANOSIDE]#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANSOYL(1-6)-O-[BETA-D-GLUCOPYRANOSYL(1-3)-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-]-O-BETA-D-GALACTOPYRANOSIDE
CELASTRACEAE#MAYTENUS EMARGINATA#QUERCETIN
CELASTRACEAE#MAYTENUS ILICIFOLIA#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-O-[ALPHA-L-RHAMNOPYRANOSYL(1-2)]-O-BETA-D-GALACTOPYRANOSIDE
CELTIDACEAE#HEMIPTELEA DAVIDII#QUERCETIN-6-C-GLUCOSIDE
CEPHALOTAXACEAE#CEPHALOTAXUS HARRINGTONIA#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE#QUERCETIN-3-O-(6''-O-ACETYL)-BETA-D-GLUCOSIDE
CERCIDIPHYLLACEAE#CERCIDIPHYLLUM JAPONICUM#QUERCETIN
CHENOPODIACEAE#ATRIPLEX CENTRALASIATICA#QUERCETIN
CHENOPODIACEAE#ATRIPLEX HORTENSIS#QUERCETIN-3-O-SULFATE-7-O-ALPHA-ARABINOPYRANOSIDE
CHENOPODIACEAE#BASSIA MURICATA#QUERCETIN-3-7-O-BETA-DIGLUCOPYRANOSIDE#QUERCETIN-3-O-(6''-CAFFEOYL)-SOPHOROSIDE#QUERCETIN-3-O-(6''-FERULOYL)-SOPHOROSIDE#QUERCETIN-3-O-SOPHOROSIDE
CHENOPODIACEAE#BETA VULGARIS_cv.RUBRA#QUERCETIN
CHENOPODIACEAE#CHENOPODIUM ALBUM#QUERCETIN#QUERCETIN-3-RHAMNOGLUCOSIDE
CHENOPODIACEAE#CHENOPODIUM AMBROSIOIDES#QUERCETIN
CHENOPODIACEAE#CHENOPODIUM BOTRYS#QUERCETIN#QUERCETIN-3-6-DI-O-BETA-D-GLUCOSIDE
CHENOPODIACEAE#CHENOPODIUM FREMONTII#QUERCETIN-3-O-BETA-D-SOPHOROSIDE
CHENOPODIACEAE#CHENOPODIUM HIRCINUM#QUERCETIN-3-RHAMNOGLUCOSIDE
CHENOPODIACEAE#CHENOPODIUM HYBRIDUM#QUERCETIN
CHENOPODIACEAE#CHENOPODIUM MURALE#QUERCETIN
CHENOPODIACEAE#CHENOPODIUM PALLIDICAULE#QUERCETIN-3-(2-GALACTOSYL-ALPHA-L-RHAMNOSYL)-ROBINOBIOSIDE#QUERCETIN-3-O-BETA-D-APIOFURANOSYL(1-2)-O-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-BETA-D-APIOFURANOSYL(1-2)-O-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-BETA-D-GLUCOPYRANOSIDE#QUERCETIN-3-O-ROBINOBIOSIDE
CHENOPODIACEAE#CHENOPODIUM QUINOA#QUERCETIN#QUERCETIN-3-O-(2-6-DI-ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE
CHENOPODIACEAE#CHENOPODIUM SANCTAECLARAE#QUERCETIN
CHENOPODIACEAE#CORNULACA MONACANTHA#QUERCETIN-4'-O-BETA-D-GALACTOSIDE
CHENOPODIACEAE#HAMMADA ELEGANS#QUERCETIN
CHENOPODIACEAE#SALICORNIA EUROPAEA#QUERCETIN-3-(MALONYL-6''-BETA-D-GLUCOSIDE)
CHENOPODIACEAE#SALSOLA COLLINA#QUERCETIN#QUERCETIN,ISO:
CHENOPODIACEAE#SPINACIA OLERACEA#QUERCETIN
CHLORANTHACEAE#ASCARINA LUCIDA#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
CHRYSOBALANACEAE#COUEPIA PARAENSIS#QUERCETIN
CHRYSOBALANACEAE#LICANIA CARII#QUERCETIN#QUERCETIN-3-(2''-XYLOSYL)-RHAMNOSIDE
CHRYSOBALANACEAE#LICANIA LICANIAEFLORA#QUERCETIN
CHRYSOBALANACEAE#LICANIA PITTIERI#QUERCETIN
CHRYSOBALANACEAE#LICANIA PYRIFOLIA#QUERCETIN
CHRYSOBALANACEAE#PARINARI ANAMENSIS#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI BICOLOR#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI BRASILIENSIS#QUERCETIN-3-O-GLYCOSIDE
CHRYSOBALANACEAE#PARINARI CAMPESTRIS#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI CAPENSIS#QUERCETIN
CHRYSOBALANACEAE#PARINARI CARIDOPHYLLA#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI CHAPELIERI#QUERCETIN-3-O-GLYCOSIDE
CHRYSOBALANACEAE#PARINARI CHOCOENSIS#QUERCETIN-3-O-TRIGLYCOSIDE
CHRYSOBALANACEAE#PARINARI CONGENSIS#QUERCETIN-3-O-GLYCOSIDE
CHRYSOBALANACEAE#PARINARI CONGOLANA#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI COSTATA#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI CURATELLAEFOLIUM#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI EXCELSA#QUERCETIN-3-O-GLYCOSIDE#QUERCETIN-3-O-TRIGLYCOSIDE
CHRYSOBALANACEAE#PARINARI INSULARUM#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI KLUGII#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI LITTORALIS#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI MAGUIREI#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI MONTANA#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI NONDA#QUERCETIN-3-O-GLYCOSIDE
CHRYSOBALANACEAE#PARINARI OBLONGIFOLIA#QUERCETIN
CHRYSOBALANACEAE#PARINARI OBTUSIFOLIA#QUERCETIN-3-O-GLYCOSIDE
CHRYSOBALANACEAE#PARINARI OCCIDENTALIS#QUERCETIN
CHRYSOBALANACEAE#PARINARI PACHYPHYLLA#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI PARILIS#QUERCETIN
CHRYSOBALANACEAE#PARINARI PARVIFOLIA#QUERCETIN
CHRYSOBALANACEAE#PARINARI RODOLPHII#QUERCETIN
CHRYSOBALANACEAE#PARINARI RUBIGINOSA#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI SPRUCEI#QUERCETIN-3-O-GLUCOSYLGALACTOSIDE
CHRYSOBALANACEAE#PARINARI SUMATRANA#QUERCETIN-3-O-GLYCOSIDE
CISTACEAE#CISTUS ALBIDUS#QUERCETIN-3-O-COUMAROYL-RUTINOSIDE
CISTACEAE#CISTUS CLUSII#QUERCETIN,3'-4'-7-TRIMETHYL:
CISTACEAE#CISTUS INCANUS#QUERCETIN
CISTACEAE#CISTUS LADANIFERUS#QUERCETIN#QUERCETIN-3-O-BETA-D-GALACTOSIDE-7-O-ALPHA-L-RHAMNOSIDE
CISTACEAE#CISTUS LAURIFOLIUS#QUERCETIN
CISTACEAE#CISTUS MONSPELIENSIS#QUERCETIN
CISTACEAE#CISTUS PARVIFLORUS#
CISTACEAE#CISTUS PSILOSEPALUS#
CISTACEAE#HELIANTHEMUM CINEREUM_ssp.RUBELLUM_var.FASCICULATUM#QUERCETIN-3-7-O-GLUCOSIDE
CISTACEAE#HELIANTHEMUM GLOMERATUM#QUERCETIN
CISTACEAE#HELIANTHEMUM OVATUM#QUERCETIN
CISTACEAE#HELIANTHEMUM SQUAMATUM#QUERCETIN
CLUSIACEAE#CALOPHYLLUM INOPHYLLUM#QUERCETIN
CLUSIACEAE#CRATOXYLUM PRUNIFLORUM#QUERCETIN
CLUSIACEAE#GARCINIA BANCANA#QUERCETIN-3-O-ALPHA-L-RHAMNOSIDE
CLUSIACEAE#GARCINIA NERVOSA#QUERCETIN
CLUSIACEAE#HARUNGANA MADAGASCARIENSIS#QUERCETIN
CLUSIACEAE#HYPERICUM ACUTUM#QUERCETIN
CLUSIACEAE#HYPERICUM ADENOTRICHUM#QUERCETIN
CLUSIACEAE#HYPERICUM AEGYPTIACUM#QUERCETIN
CLUSIACEAE#HYPERICUM ANDROSAEMUM#QUERCETIN#QUERCETIN-3-GLUCURONIDE#QUERCETIN-3-SULFATE
CLUSIACEAE#HYPERICUM ANNULATUM#QUERCETIN
CLUSIACEAE#HYPERICUM ANNULATUM_ssp.ANNULATUM#QUERCETIN
CLUSIACEAE#HYPERICUM ASCYRON#QUERCETIN
CLUSIACEAE#HYPERICUM ATHOUM#QUERCETIN
CLUSIACEAE#HYPERICUM ATOMARIUM#QUERCETIN
CLUSIACEAE#HYPERICUM ATTENUATUM#QUERCETIN
CLUSIACEAE#HYPERICUM AUCHERI#QUERCETIN
CLUSIACEAE#HYPERICUM BALEARICUM#QUERCETIN
CLUSIACEAE#HYPERICUM BARBATUM#QUERCETIN
CLUSIACEAE#HYPERICUM BELLUM#QUERCETIN
CLUSIACEAE#HYPERICUM BITHYNICUM#QUERCETIN
CLUSIACEAE#HYPERICUM BRASILIENSE#QUERCETIN
CLUSIACEAE#HYPERICUM BUPLEUROIDES#QUERCETIN
CLUSIACEAE#HYPERICUM CALYCINUM#QUERCETIN#QUERCETIN-3-GLUCURONIDE
CLUSIACEAE#HYPERICUM CANARIENSE#QUERCETIN
CLUSIACEAE#HYPERICUM CAPRIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM CAUCASICUM#QUERCETIN
CLUSIACEAE#HYPERICUM CERASTOIDES#QUERCETIN
CLUSIACEAE#HYPERICUM CHINENSE#QUERCETIN
CLUSIACEAE#HYPERICUM CORIS#QUERCETIN
CLUSIACEAE#HYPERICUM CRUX-ANDREAE#QUERCETIN-3-O-GLYCOSIDE
CLUSIACEAE#HYPERICUM DEGENII#QUERCETIN
CLUSIACEAE#HYPERICUM DENSIFLORUM#QUERCETIN
CLUSIACEAE#HYPERICUM EDISONIANUM#QUERCETIN-3-O-GLUCOGALACTOSIDE
CLUSIACEAE#HYPERICUM ELATUM#QUERCETIN
CLUSIACEAE#HYPERICUM ELODES#QUERCETIN#QUERCETIN-3'-SULFATE#QUERCETIN-3-GLUCURONIDE#QUERCETIN-3-GLUCURONIDE-3'-SULFATE
CLUSIACEAE#HYPERICUM ELONGATUM#QUERCETIN
CLUSIACEAE#HYPERICUM EMPETRIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM ERECTUM#QUERCETIN
CLUSIACEAE#HYPERICUM ERICOIDES#QUERCETIN
CLUSIACEAE#HYPERICUM FORRESTII#QUERCETIN
CLUSIACEAE#HYPERICUM GALIOIDES#QUERCETIN
CLUSIACEAE#HYPERICUM GLANDULOSUM#QUERCETIN
CLUSIACEAE#HYPERICUM GRANDIFLORUM#QUERCETIN
CLUSIACEAE#HYPERICUM GRANDIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM GRAVEOLENS#QUERCETIN
CLUSIACEAE#HYPERICUM HELIANTHEMOIDES#QUERCETIN
CLUSIACEAE#HYPERICUM HENRYI#QUERCETIN
CLUSIACEAE#HYPERICUM HETEROPHYLLUM#QUERCETIN
CLUSIACEAE#HYPERICUM HIRCINUM#QUERCETIN#QUERCETIN-3'-O-BETA-D-GLUCOSIDE
CLUSIACEAE#HYPERICUM HIRSUTUM#QUERCETIN
CLUSIACEAE#HYPERICUM HOOKERIANUM#QUERCETIN
CLUSIACEAE#HYPERICUM HUMIFUSUM#QUERCETIN
CLUSIACEAE#HYPERICUM HYPERICOIDES#QUERCETIN-3-O-GLUCOGALACTOSIDE
CLUSIACEAE#HYPERICUM INODORUM#QUERCETIN
CLUSIACEAE#HYPERICUM JAPONICUM#QUERCETIN#QUERCETIN-7-O-ALPHA-L-RHAMNOSIDE
CLUSIACEAE#HYPERICUM KAMTSCHATICUM#QUERCETIN
CLUSIACEAE#HYPERICUM KOUYTCHENSE#QUERCETIN
CLUSIACEAE#HYPERICUM LARICIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM MACGREGORII#QUERCETIN
CLUSIACEAE#HYPERICUM MACULATUM#QUERCETIN
CLUSIACEAE#HYPERICUM MICROSEPALUM#QUERCETIN-3-O-GLUCOGALACTOSIDE
CLUSIACEAE#HYPERICUM MITCHELLIANUM#QUERCETIN
CLUSIACEAE#HYPERICUM MONOGYNUM#QUERCETIN
CLUSIACEAE#HYPERICUM MONTANUM#QUERCETIN
CLUSIACEAE#HYPERICUM MONTBRETII#QUERCETIN
CLUSIACEAE#HYPERICUM MOSERANUM#QUERCETIN
CLUSIACEAE#HYPERICUM NANUM#QUERCETIN
CLUSIACEAE#HYPERICUM NUMMULARIOIDES#QUERCETIN
CLUSIACEAE#HYPERICUM NUMMULARIUM#QUERCETIN
CLUSIACEAE#HYPERICUM OLYMPICUM#QUERCETIN
CLUSIACEAE#HYPERICUM ORIENTALE#QUERCETIN
CLUSIACEAE#HYPERICUM ORIGANIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM PALLENS#QUERCETIN
CLUSIACEAE#HYPERICUM PATULUM#QUERCETIN
CLUSIACEAE#HYPERICUM PERFOLIATUM#QUERCETIN
CLUSIACEAE#HYPERICUM PERFORATUM#QUERCETIN#QUERCETIN,ISO:#QUERCETIN-3-(6''-O-ACETYL-GALACTOSIDE)#QUERCETIN-3-O-(2''-ACETYL)-BETA-D-GALACTOSIDE#QUERCETIN-3-O-XYLOSIDE#QUERCETIN-GALACTURONIDE
CLUSIACEAE#HYPERICUM PERFORATUM_var.#QUERCETIN
CLUSIACEAE#HYPERICUM PERFORATUM_var.ANGUSTIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM PERFORATUM_var.PERFORATUM#QUERCETIN
CLUSIACEAE#HYPERICUM POLYGONIFOLIUM#QUERCETIN
CLUSIACEAE#HYPERICUM POLYPHYLLUM#QUERCETIN
CLUSIACEAE#HYPERICUM PROLIFICUM#QUERCETIN
CLUSIACEAE#HYPERICUM PRZEWALSKI#QUERCETIN
CLUSIACEAE#HYPERICUM PSEUDOMACULATUM#QUERCETIN
