ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
APIACEAE#PIMPINELLA ANISUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-XYLOSIDE#LUTEOLIN-7-O-BETA-D-XYLOXIDE
APIACEAE#PIMPINELLA ETBAICA#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#PLEUROSPERMUM LINDLEYANUM#GALUTEOLIN#LUTEOLIN#LUTEOLIN,GLUCO:
APIACEAE#PSEUDORLAYA PUMILA#LUTEOLIN
APIACEAE#SCANDIX PECTEN-VENERIS#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#TINGUARRA SICULA#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#TODAROA AUREA_CV.AUREA#LUTEOLIN
APIACEAE#TODAROA AUREA_CV.SUAVEOLENS#LUTEOLIN
APIACEAE#TORILIS ARVENSIS#GALUTEOLIN#LUTEOLIN-5-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#TORILIS BRACTEOSA#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS CAERULESCENS#GALUTEOLIN
APIACEAE#TORILIS HETEROPHYLLA#GALUTEOLIN
APIACEAE#TORILIS JAPONICA#LUTEOLIN-7-RUTINOSIDE
APIACEAE#TORILIS LEPTOPHYLLA#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-RUTINOSIDE#LUTEOLIN-7-TRIGLUCOSIDE
APIACEAE#TORILIS NODOSA#GALUTEOLIN#LUTEOLIN-5-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#TORILIS RADIATA#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
