ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
ASTERACEAE#ASTERISCUS PYGMAEUS#LUTEOLIN#LUTEOLIN-4'-7-DI-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-METHYL ETHER
ASTERACEAE#BABCOCKIA PLATYLEPIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#BACCHARIS ARTICULATA#LUTEOLIN
ASTERACEAE#BACCHARIS BIGELOVII#LUTEOLIN#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#BACCHARIS CALLIPRINOS#LUTEOLIN-3'-7-DIMETHYL ETHER
ASTERACEAE#BACCHARIS CRISPA#LUTEOLIN,3'-4'-7-TRI-O-METHYL:
ASTERACEAE#BACCHARIS HALIMIFOLIA#LUTEOLIN#LUTEOLIN,3-4'-6-TRIMETHOXY:#LUTEOLIN,3-6-DIMETHOXY:#LUTEOLIN,6-HYDROXY-3'-METHOXY-6-METHYL:
ASTERACEAE#BACCHARIS MICROCEPHALA#LUTEOLIN
ASTERACEAE#BACCHARIS NITIDA#LUTEOLIN
ASTERACEAE#BACCHARIS PTERONIOIDES#LUTEOLIN#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#BACCHARIS RHETINODES#LUTEOLIN-3'-7-DIMETHYL ETHER
ASTERACEAE#BACCHARIS SALICIFOLIA#LUTEOLIN-3'-4'-DIMETHYL ETHER#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#BACCHARIS TRIMERA#LUTEOLIN
ASTERACEAE#BACCHARIS TRINERVIS#LUTEOLIN,3'-4'-DIMETHYL:
ASTERACEAE#BAERIA CALIFORNICA#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#BELLIDA GRAMINEA#LUTEOLIN
ASTERACEAE#BIDENS FRONDOSA#LUTEOLIN
ASTERACEAE#BIDENS PILOSA#LUTEOLIN
ASTERACEAE#BIDENS PILOSA_VAR.RADIATA#LUTEOLIN
ASTERACEAE#BLUMEA BALSAMIFERA#BILUTEOLIN,3-O-7'':#LUTEOLIN#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#BRICKELLIA EUPATORIOIDES#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#BRICKELLIA RUSBYI#LUTEOLIN,3'-4'-6-7-TETRAMETHOXY:#LUTEOLIN,4'-6-7-TRIMETHOXY:
ASTERACEAE#CARDUNCELLUS MONSPELIENSIUM#LUTEOLIN
ASTERACEAE#CARDUUS ACANTHOIDES#LUTEOLIN#LUTEOLIN-7-O-DIGALACTOSIDE#LUTEOLIN-7-O-GALACTOSIDE
ASTERACEAE#CARDUUS ASSOI#LUTEOLIN#LUTEOLIN-3'-O-ALPHA-L-RHAMNOSIDE
ASTERACEAE#CARDUUS CRISPUS#LUTEOLIN#LUTEOLIN-7-O-ALPHA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#CARDUUS GETULUS#LUTEOLIN-4'-METHYL ETHER-7-O-BETA-D-GLUCOSIDE
ASTERACEAE#CARDUUS NUTANS#LUTEOLIN#LUTEOLIN-7-O-GALACTOSIDE
ASTERACEAE#CARLINA CORYMBOSA#LUTEOLIN-6-8-DI-C-GLUCOSIDE
ASTERACEAE#CARTHAMUS LANATUS#LUTEOLIN
ASTERACEAE#CARTHAMUS TINCTORIUS#LUTEOLIN#LUTEOLIN-7-O-(6''-O-ACETYL)-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#CENTAUREA ALEXANDRINA#LUTEOLIN
ASTERACEAE#CENTAUREA AMERICANA#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#CENTAUREA BRACTEATA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 4'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 4'-6-DIMETHYL ETHER 7-O-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#CENTAUREA CALCITRAPA#LUTEOLIN
ASTERACEAE#CENTAUREA CHEIRANTHIFOLIA#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#CENTAUREA CHILENSIS#LUTEOLIN#LUTEOLIN,8-METHOXY:
ASTERACEAE#CENTAUREA COLLINA_CV.COLLINA#LUTEOLIN
ASTERACEAE#CENTAUREA CORONOPIFOLIA#LUTEOLIN,7-METHOXY:
ASTERACEAE#CENTAUREA CYANUS#LUTEOLIN
ASTERACEAE#CENTAUREA GLOMERATA#LUTEOLIN
ASTERACEAE#CENTAUREA KILAEA#LUTEOLIN,6-METHOXY: 3'-4'-7-TRIMETHOXY:
ASTERACEAE#CENTAUREA MACROCEPHALA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-4-6-7-TETRAMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-7-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-7-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#CENTAUREA MELITENSIS#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#CENTAUREA MONTANA#LUTEOLIN-4'-O-ARABINOSIDE#LUTEOLIN-4'-O-GLUCOSIDE#LUTEOLIN-7-DI-O-GLUCOSIDE
ASTERACEAE#CENTAUREA NIGRA#LUTEOLIN,6-7-DIMETHOXY:
ASTERACEAE#CENTAUREA ORPHANIDEA#LUTEOLIN
ASTERACEAE#CENTAUREA PALLESCENS#LUTEOLIN
ASTERACEAE#CENTAUREA PICHLERI_CV.PICHLERI#LUTEOLIN
ASTERACEAE#CENTAUREA PSEUDOSCABIOSA_CV.PSEUDOSCABIOSA#LUTEOLIN
ASTERACEAE#CENTAUREA REGIA#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE
ASTERACEAE#CENTAUREA SCOPARIA#LUTEOLIN
ASTERACEAE#CENTAUREA TRIUMFETTI#LUTEOLIN-4'-ARABINOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#CENTAUREA URVILLEI_VAR.STEPPOSA#LUTEOLIN
ASTERACEAE#CHONDRILLA JUNCEA#LUTEOLIN#LUTEOLIN-7-O-GALACTOSYL-GLUCURONIDE
ASTERACEAE#CHROMOLAENA ODORATA#LUTEOLIN#LUTEOLIN-3'-4'-DIMETHYL ETHER
ASTERACEAE#CHRYSANTHEMUM BALSAMITA#LUTEOLIN
ASTERACEAE#CHRYSANTHEMUM BOREALE#LUTEOLIN
ASTERACEAE#CHRYSANTHEMUM CARINATUM#LUTEOLIN
ASTERACEAE#CHRYSANTHEMUM CINERARIAEFOLIUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM CORONARIUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM INDICUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCOPYRANOSIDURONIC ACID
ASTERACEAE#CHRYSANTHEMUM LEUCANTHEMUM#LUTEOLIN
ASTERACEAE#CHRYSOTHAMNUS PULCHELLUS#LUTEOLIN
ASTERACEAE#CICERBITA PLUMIERI#LUTEOLIN
ASTERACEAE#CICHORIUM INTYBUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CIRSIUM ARVENSE#LUTEOLIN
ASTERACEAE#CIRSIUM ECHINUS#LUTEOLIN
ASTERACEAE#CIRSIUM HETEROPHYLLUM#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#CIRSIUM HOSOGAWA#LUTEOLIN
ASTERACEAE#CIRSIUM JAPONICUM#LUTEOLIN
ASTERACEAE#CIRSIUM OLERACEUM#LUTEOLIN
ASTERACEAE#CIRSIUM RHINOCEROS#LUTEOLIN
ASTERACEAE#CIRSIUM SYRIACUM#LUTEOLIN
ASTERACEAE#CIRSIUM VALLIS-DEMONII#LUTEOLIN
ASTERACEAE#CLADANTHUS ARABICUS#LUTEOLIN
ASTERACEAE#CNICUS BENEDICTUS#LUTEOLIN#LUTEOLIN DIGLUCOSIDE
ASTERACEAE#CNICUS WALLICHII#LUTEOLIN
ASTERACEAE#CONOCLINIUM COELESTINUM#LUTEOLIN#LUTEOLIN,3'-4'-5-6-7-PENTAMETHOXY:#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,3'-METHOXY:
ASTERACEAE#CONYZA BONARIENSIS#LUTEOLIN
ASTERACEAE#COREOPSIS AURICULATA#7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-METHOXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS BASALIS#7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS BIGELOVII#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS GRANDIFLORA#7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-METHOXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS INTERMEDIA#7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-METHOXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS LANCEOLATA#7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS NUECENSIS#7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-METHOXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#COREOPSIS NUECENSOIDES#7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-METHOXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#COREOPSIS PUBESCENS#7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COREOPSIS WRIGHTII#7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY:#LUTEOLIN,6-METHOXY: 7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#COSMOS BIPINNATUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#COTULA CINEREA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#COTULA TURBINATA#GALUTEOLIN
ASTERACEAE#CREMANTHODIUM ELLISII#LUTEOLIN-7-ALPHA-L-RHAMNOSYL(1'''-6'')-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#CREPIS DIVARICATA#LUTEOLIN
ASTERACEAE#CREPIS JAPONICA#LUTEOLIN-7-O-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-O-BETA-D-GLUCOPYRANOSYL-6-O-METHYL ESTER#LUTEOLIN-7-O-BETA-D-GLUCOSIDE-6''-MALONIC ACID ESTER
ASTERACEAE#CREPIS PYGMAEA#LUTEOLIN
ASTERACEAE#CREPIS SENECIOIDES#LUTEOLIN
ASTERACEAE#CYNARA CORNIGERA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-RUTINOSIDE#LUTEOLIN-7-O-BETA-GENTIOBIOSIDE
ASTERACEAE#CYNARA HUMILIS#LUTEOLIN#LUTEOLIN-7-O-BETA-GENTIOBIOSIDE
ASTERACEAE#CYNARA SCOLYMUS#LUTEOLIN#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE#LUTEOLIN-4'-7-DIGLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GLUCURONIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-RUTINOSIDE
ASTERACEAE#CYNARA SCOLYMUS_VAR.TUDELA#LUTEOLIN
ASTERACEAE#CYNARA SIBTHORPIANA#LUTEOLIN#LUTEOLIN-7-RUTINOSIDE
ASTERACEAE#DAHLIA VARIABILIS_CV.BONNY#GALUTEOLIN#LUTEOLIN
ASTERACEAE#DENDRANTHEMA LAVANDULIFOLIUM#LUTEOLIN
ASTERACEAE#DENDRANTHEMA MORIFOLIUM#LUTEOLIN#LUTEOLIN,4'-METHOXY: 7-O-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#DENDRANTHEMA MORIFOLIUM_VAR.SINENSE#LUTEOLIN
ASTERACEAE#DENDRANTHEMA NANKINGENSE#LUTEOLIN
ASTERACEAE#DORONICUM GRANDIFLORUM#LUTEOLIN
ASTERACEAE#DUBAUTIA ARBOREA#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ECHINOPS ECHINATUS#LUTEOLIN
ASTERACEAE#ECHINOPS NIVEUS#LUTEOLIN
ASTERACEAE#ECHINOPS RITRO#LUTEOLIN
ASTERACEAE#ECLIPTA ALBA#LUTEOLIN
ASTERACEAE#ELEPHANTOPUS SCABER#LUTEOLIN
ASTERACEAE#EMBERGERIA GRANDIFOLIA#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#ENCELIA ASPERIFOLIA#LUTEOLIN
ASTERACEAE#ENCELIA CALIFORNICA#LUTEOLIN
ASTERACEAE#ENCELIA LACINIATA#LUTEOLIN
ASTERACEAE#ENCELIA STENOPHYLLA#LUTEOLIN#LUTEOLIN,3'-O-METHYL:#LUTEOLIN,7-O-METHYL:
ASTERACEAE#ENCELIA VENTORUM#LUTEOLIN
ASTERACEAE#EPALTES PYGMAEA#LUTEOLIN
ASTERACEAE#EREMANTHUS ELAEAGNUS#LUTEOLIN#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ERIGERON ANNUS#LUTEOLIN
ASTERACEAE#ERIGERON CANADENSIS#LUTEOLIN
ASTERACEAE#ERIOCEPHALUS PUNCTULATUS#LUTEOLIN#LUTEOLIN-3-4-DIMETHYL ETHER
ASTERACEAE#ESPELETIA KILLIPII#LUTEOLIN
ASTERACEAE#ETHULIA CONYZOIDES#LUTEOLIN
ASTERACEAE#EUPATORIUM ALBUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#EUPATORIUM ALTISSIMUM#LUTEOLIN#LUTEOLIN,3'-4'-6-7-TETRAMETHOXY:#LUTEOLIN,4'-6-7-TRIMETHOXY:#LUTEOLIN,4'-METHOXY:#LUTEOLIN,6-7-DIMETHOXY:
ASTERACEAE#EUPATORIUM CANNABINUM#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#EUPATORIUM DUBIUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#EUPATORIUM FISTULOSUM#LUTEOLIN
ASTERACEAE#EUPATORIUM HYSSOPIFOLIUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#EUPATORIUM MACULATUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#EUPATORIUM PURPUREUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#EUPATORIUM ROTUNDIFOLIUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,6-7-DIMETHOXY:
ASTERACEAE#EUPATORIUM SESSILIFOLIUM#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:
ASTERACEAE#FLEISCHMANNIA VISCIDIPES#LUTEOLIN,2-3-4-TRI-O-METHYL:
ASTERACEAE#GAILLARDIA MEGAPOTAMICA_VAR.RADIATA#LUTEOLIN
ASTERACEAE#GERBERA JAMESONII#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#GLOSSOGYNE TENUIFOLIA#LUTEOLIN
ASTERACEAE#GNAPHALIUM AFFINE#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#GNAPHALIUM CHEIRANTHIFOLIUM#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#GNAPHALIUM LUTEO-ALBUM#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#GNAPHALIUM OXYPHYLLUM_VAR.OXYPHYLLUM#LUTEOLIN
ASTERACEAE#GNAPHALIUM RUFESCENS#LUTEOLIN#LUTEOLIN,7-METHOXY:
ASTERACEAE#GNAPHALIUM SYLVATICUM#LUTEOLIN
ASTERACEAE#GOCHNATIA ARGENTINA#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#GOCHNATIA HYPOLEUCA_CV.OBTUSATA#LUTEOLIN
ASTERACEAE#GRINDELIA APHANACTIS#LUTEOLIN
ASTERACEAE#GRINDELIA MARITIMA#LUTEOLIN
ASTERACEAE#GRINDELIA ROBUSTA#LUTEOLIN
ASTERACEAE#GRINDELIA SQUARROSA#LUTEOLIN
ASTERACEAE#GUTIERREZIA SAROTHRAE#LUTEOLIN#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#GYMNARRHENA MICRANTHA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#HAPLOPAPPUS LARICIFOLIUS#LUTEOLIN
ASTERACEAE#HAPLOPAPPUS RENGIFOANUS#LUTEOLIN
ASTERACEAE#HAPLOPAPPUS SERICEUS#LUTEOLIN,6-METHOXY: 4'-METHYL ETHER#LUTEOLIN,6-METHOXY: 7-METHYL ETHER
ASTERACEAE#HAPLOPAPPUS VELUTINUS#LUTEOLIN
ASTERACEAE#HAZARDIA SQUARROSA_VAR.GRINDELIOIDES#LUTEOLIN#LUTEOLIN-3'-O-METHYL ETHER#LUTEOLIN-7-O-METHYL ETHER
ASTERACEAE#HEDYPNOIS ARENARIA#LUTEOLIN
ASTERACEAE#HEDYPNOIS CRETICA#LUTEOLIN
ASTERACEAE#HELENIUM ALTERNIFOLIUM#LUTEOLIN
ASTERACEAE#HELIANTHUS ANNUUS_CV.LENTICULARIS#LUTEOLIN
ASTERACEAE#HELICHRYSUM ARENARIUM#LUTEOLIN#LUTEOLIN,7-O-BETA-D-GLUCOSIDE:#LUTEOLIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#HELICHRYSUM ARMENIUM_CV.ARAXINUM#LUTEOLIN
ASTERACEAE#HELICHRYSUM ARMENIUM_CV.ARMENIUM#LUTEOLIN
ASTERACEAE#HELICHRYSUM AUREUM#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#HELICHRYSUM BRACTEATUM#LUTEOLIN#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#HELICHRYSUM BRACTEATUM_VAR.BRACTEATUM#LUTEOLIN
ASTERACEAE#HELICHRYSUM BUDDLEIOIDES#LUTEOLIN
ASTERACEAE#HELICHRYSUM FORSKAHLII#LUTEOLIN
ASTERACEAE#HELICHRYSUM ITALICUM#LUTEOLIN
ASTERACEAE#HELICHRYSUM PALLASII#LUTEOLIN
ASTERACEAE#HELICHRYSUM PLICATUM#LUTEOLIN
ASTERACEAE#HELICHRYSUM STOECHAS#LUTEOLIN
ASTERACEAE#HELICHRYSUM STOECHAS_CV.BARRELIERI#LUTEOLIN
ASTERACEAE#HELIPTERUM TENELLUM#LUTEOLIN#LUTEOLIN,3'-O-METHYL:
ASTERACEAE#HEMIZONIA ARIDA#LUTEOLIN
ASTERACEAE#HEMIZONIA AUSTRALIS#LUTEOLIN
ASTERACEAE#HEMIZONIA CORYMBOSA_CV.CORYMBOSA#LUTEOLIN
ASTERACEAE#HEMIZONIA FASCICULATA#LUTEOLIN
ASTERACEAE#HEMIZONIA FITCHII#LUTEOLIN
ASTERACEAE#HEMIZONIA GREENEANA_CV.PENINSULARIS#LUTEOLIN
ASTERACEAE#HEMIZONIA HALLIANA#LUTEOLIN
ASTERACEAE#HEMIZONIA INCRESCENS_CV.INCRESCENS#LUTEOLIN
ASTERACEAE#HEMIZONIA INCRESCENS_CV.VILLOSA#LUTEOLIN
ASTERACEAE#HEMIZONIA KELLOGII#LUTEOLIN
ASTERACEAE#HEMIZONIA LOBBII#LUTEOLIN
ASTERACEAE#HEMIZONIA LUZULAEFOLIA_CV.RUDIS#LUTEOLIN
ASTERACEAE#HEMIZONIA MINTHORNII#LUTEOLIN
ASTERACEAE#HEMIZONIA PALLIDA#LUTEOLIN
ASTERACEAE#HEMIZONIA PANICULATA#LUTEOLIN
ASTERACEAE#HEMIZONIA PENTACTIS#LUTEOLIN
ASTERACEAE#HEMIZONIA PUNGENS_CV.PUNGENS#LUTEOLIN
ASTERACEAE#HEMIZONIA STREETSII#LUTEOLIN
ASTERACEAE#HETEROTHECA INULOIDES#LUTEOLIN
ASTERACEAE#HETEROTHECA VILLOSA_VAR.VILLOSA#LUTEOLIN,3'-7-DIMETHOXY:
ASTERACEAE#HEYWOODIELLA OLIGOCEPHALA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#HIERACIUM ALBERTINUM#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL-GLUCOSIDE
ASTERACEAE#HIERACIUM ALBIFLORUM#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#HIERACIUM AMPLEXICAULE#LUTEOLIN#LUTEOLIN-7-O-RHAMNOSIDE
ASTERACEAE#HIERACIUM BLECICII#LUTEOLIN#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-ALPHA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL(1-6)-BETA-D-GLUCOSIDE
ASTERACEAE#HIERACIUM COLORISCAPUM#LUTEOLIN#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-ALPHA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL(1-6)-BETA-D-GLUCOSIDE
ASTERACEAE#HIERACIUM COMPOSITUM#LUTEOLIN#LUTEOLIN-7-O-RHAMNOSIDE
ASTERACEAE#HIERACIUM CYNOGLOSSOIDES#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL-GLUCOSIDE
ASTERACEAE#HIERACIUM GRACILE#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL-GLUCOSIDE#LUTEOLIN-7-O-TRIOSIDE
ASTERACEAE#HIERACIUM GUENTHERI-BECKII#LUTEOLIN#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-ALPHA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL(1-6)-BETA-D-GLUCOSIDE
ASTERACEAE#HIERACIUM GYMNOCEPHALUM#LUTEOLIN#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-ALPHA-D-GLUCOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-XYLOSYL(1-6)-BETA-D-GLUCOSIDE
ASTERACEAE#HIERACIUM MURORUM_CV.GRANDIDENS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#HIERACIUM NAEGELIANUM#LUTEOLIN#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-ALPHA-D-GLUCOSIDE
ASTERACEAE#HIERACIUM ROTUNDATUM#LUTEOLIN
ASTERACEAE#HIERACIUM SUBORIENII#LUTEOLIN
ASTERACEAE#HIERACIUM UMBELLATUM#LUTEOLIN#LUTEOLIN-4'-O-ALPHA-L-ARABINOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-ALPHA-L-ARABINOSIDE#LUTEOLIN-7-O-ALPHA-L-ARABIOSYL-GLUCOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#HISPIDELLA HISPANICA#LUTEOLIN
ASTERACEAE#HOEHNELIA VERNONIOIDES#LUTEOLIN
ASTERACEAE#HOLOCARPHA OBCONICA#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#HOLOCARPHA VIRGATA#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#HYMENOCLEA SALSOLA#LUTEOLIN#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#HYOSERIS RADIATA#LUTEOLIN
ASTERACEAE#HYPOCHOERIS RADICATA#LUTEOLIN
ASTERACEAE#HYPOCHOERIS UNIFLORA#LUTEOLIN
ASTERACEAE#INULA BRITANNICA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-7-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN,6-HYDROXY: 7-DIGLLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-BETA-D-GLUCOPYRANOSIDE,6-METHOXY:
ASTERACEAE#INULA GERMANICA#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#INULA MONTANA#LUTEOLIN
ASTERACEAE#INULA SALICINA#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#INULA SALSOLOIDES#LUTEOLIN
ASTERACEAE#INULA VISCOSA#LUTEOLIN
