ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
ERICACEAE#RHODODENDRON LIMENTODES#MYRICETIN
ERICACEAE#RHODODENDRON LUTEUM#MYRICETIN
ERICACEAE#RHODODENDRON MACGREGORIAE#MYRICETIN
ERICACEAE#RHODODENDRON MEIJERI#MYRICETIN
ERICACEAE#RHODODENDRON MICROMALAYANUM#MYRICETIN
ERICACEAE#RHODODENDRON MUCRONULATUM#MYRICETIN
ERICACEAE#RHODODENDRON MUCRUNULATUM#MYRICETIN
ERICACEAE#RHODODENDRON NERVULOSUM_VAR.EXUBERANS#MYRICETIN
ERICACEAE#RHODODENDRON NIEWENHUISII#MYRICETIN
ERICACEAE#RHODODENDRON OBTUSUM_CV.#MYRICETIN,5-METHOXY: 3-O-ALPHA-L-GALACTOSIDE
ERICACEAE#RHODODENDRON ORBICULATUM#MYRICETIN
ERICACEAE#RHODODENDRON PHAEOCHITUM#MYRICETIN
ERICACEAE#RHODODENDRON PLANECOSTATUM#MYRICETIN
ERICACEAE#RHODODENDRON PNEUMONANTHUM#MYRICETIN
ERICACEAE#RHODODENDRON POLYANTHEMUM#MYRICETIN
ERICACEAE#RHODODENDRON PRAETERVISUM#MYRICETIN
ERICACEAE#RHODODENDRON RARUM#MYRICETIN
ERICACEAE#RHODODENDRON RETUSUM#MYRICETIN
ERICACEAE#RHODODENDRON ROBINSONII#MYRICETIN
ERICACEAE#RHODODENDRON RUGOSUM#MYRICETIN
ERICACEAE#RHODODENDRON SEARLEANUM#MYRICETIN
ERICACEAE#RHODODENDRON SICHOTENSE#MYRICETIN
ERICACEAE#RHODODENDRON SIMSII_CV.#MYRICETIN,5-METHOXY: 3-O-ALPHA-L-GALACTOSIDE
ERICACEAE#RHODODENDRON SIMSII_CV.V93#MYRICETIN-3-RHAMNOSIDE 5-METHYL ETHER
ERICACEAE#RHODODENDRON STAPFIANUM#MYRICETIN
ERICACEAE#RHODODENDRON STENOPHYLLUM#MYRICETIN
ERICACEAE#RHODODENDRON SUAVEOLENS#MYRICETIN
ERICACEAE#RHODODENDRON SUPERBUM#MYRICETIN
ERICACEAE#RHODODENDRON VANDEURSENII#MYRICETIN
ERICACEAE#RHODODENDRON WOMERSLEYI#MYRICETIN
ERICACEAE#RHODODENDRON WRIGHTIANUM_VAR.CYCLOPENSE#MYRICETIN
ERICACEAE#RHODODENDRON YELLIOTTII#MYRICETIN
ERICACEAE#RHODODENDRON YOUNGII#MYRICETIN
ERICACEAE#RHODODENDRON ZOELLERI#MYRICETIN
ERICACEAE#VACCINIUM CORYMBOSUM#MYRICETIN-3-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ERICACEAE#VACCINIUM MACROCARPON#MYRICETIN#MYRICETIN,DIMETHOXY: HEXOSIDE#MYRICETIN,METHOXY: PENTOSIDE#MYRICETIN-3-ALPHA-ARABINOFURANOSIDE#MYRICETIN-3-ALPHA-XYLOPYRANOSIDE#MYRICETIN-3-ARABINOSIDE#MYRICETIN-3-BETA-GALACTOSIDE#MYRICETIN-3-DIGALACTOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-O-BETA-GALACTOSIDE
ERICACEAE#VACCINIUM MACROCARPON_CV.EARLY#MYRICETIN
ERICACEAE#VACCINIUM OXYCOCCOS#MYRICETIN
ERICACEAE#VACCINIUM ULIGINOSUM#MYRICETIN#MYRICETIN-5'-METHYL ETHER
ERYTHROXYLACEAE#ERYTHROXYLUM RUFUM#MYRICETIN-3-O-BETA-D-GLUCOSIDE
EUPHORBIACEAE#BRIDELIA FERRUGINEA#MYRICETIN#MYRICETIN,3'-4'-5'-TRI-O-METHYL:#MYRICETIN,3-3'-4'-5'-TETRA-O-METHYL:#MYRICETIN-3-3'-4'-5'-TETRAMETHYL ETHER#MYRICETIN-3-O-BETA-D-GLUCOSIDE
EUPHORBIACEAE#EUPHORBIA HIRTA#MYRICETIN
EUPHORBIACEAE#EUPHORBIA PALUSTRIS#MYRICETIN
EUPHORBIACEAE#EUPHORBIA STEPPOSA#MYRICETIN
FABACEAE#ACACIA AROMA#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#ACACIA CONFUSA#MYRICETIN#MYRICETIN-3-O-(2''-3''-DI-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(2''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(2''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE-7-METHYL ETHER#MYRICETIN-3-O-(3''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(3''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE-METHYL ETHER
FABACEAE#ACACIA DEALBATA#MYRICETIN-3-O-BETA-D-RUTINOSIDE
FABACEAE#ACACIA EHRENBERGIANA#MYRICETIN#MYRICETIN-3-O-(3'''-O-GALLOYL)-BETA-D-RUTINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-RUTINOSIDE
FABACEAE#ACACIA FARNESIANA#MYRICETIN-7-O-BETA-(6''-GALLOYL-GLUCOPYRANOSIDE)
FABACEAE#ACACIA LATIFOLIA#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#ACACIA LEUCOPHLOEA#MYRICETIN
FABACEAE#ASTRAGALUS COMPLANATUS#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3-O-BETA-D-XYLOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE
FABACEAE#ASTRAGALUS FLOCCOSIFOLIUS#MYRICETIN
FABACEAE#ASTRAGALUS QUISQUALIS#MYRICETIN
FABACEAE#ASTRAGALUS SINICUS#MYRICETIN#MYRICETIN-3'-O-BETA-D-GLUCOSIDE#MYRICETIN-3'-O-BETA-D-XYLOPYRANOSIDE
FABACEAE#BAUHINIA VARIEGATA#MYRICETIN
FABACEAE#CAESALPINIA PULCHERRIMA_VAR.FLAVA#MYRICETIN
FABACEAE#CARAGANA FRUTEX#MYRICETIN
FABACEAE#CARAGANA JUBATA#MYRICETIN-3-O-BETA-D-XYLOSIDE
FABACEAE#CARAGANA TURCZ.#MYRICETIN
FABACEAE#CLITORIA TERNATEA#MYRICETIN-3-(2''-RHAMNOSYL-6''-MALONYL)-GLUCOSIDE#MYRICETIN-3-(2-G-RHAMNOSYL-RUTINOSIDE)#MYRICETIN-3-GLUCOSIDE#MYRICETIN-3-NEOHESPERIDOSIDE#MYRICETIN-3-RUTINOSIDE
FABACEAE#CLITORIA TERNATEA_CV.DOUBLE#MYRICETIN-3-GLUCOSIDE#MYRICETIN-3-NEOHESPERIDOSIDE#MYRICETIN-3-O-(2''-6''-DI-O-ALPHA-RHAMNOSYL)-BETA-GLUCOSIDE#MYRICETIN-3-RUTINOSIDE
FABACEAE#CYAMOPSIS TETRAGONOLOBUS#MYRICETIN,7-O-BETA-(2-RHAMNOSYL-GLUCOSYL):#MYRICETIN-7-O-BETA-D-GLUCOSIDE-3-GLYCOSIDE
FABACEAE#DORYCNIUM SUFFRUTICOSUM#MYRICETIN#MYRICETIN-3-O-ALPHA-L-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#GEOFFROEA DECORTICANS#MYRICETIN
FABACEAE#INDIGOFERA CORDIFOLIA#MYRICETIN
FABACEAE#INDIGOFERA ENNEAPHYLLA#MYRICETIN
FABACEAE#INDIGOFERA GLANDULOSA#MYRICETIN
FABACEAE#INDIGOFERA GLANDULOSA_VAR.SYKESII#MYRICETIN
FABACEAE#INDIGOFERA HIRSUTA#MYRICETIN
FABACEAE#INDIGOFERA LINIFOLIA#MYRICETIN
FABACEAE#INDIGOFERA LINIFOLIA_VAR.CAMPBELLII#MYRICETIN
FABACEAE#INDIGOFERA PSEUDO-TINCTORIA#MYRICETIN-3-O-RUTINOSIDE
FABACEAE#INDIGOFERA TINCTORIA#MYRICETIN
FABACEAE#INDIGOFERA TRIFOLIATA#MYRICETIN
FABACEAE#INDIGOFERA TRITA#MYRICETIN
FABACEAE#LAGONYCHIUM FARCTUM#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE
FABACEAE#LATHYRUS ODORATUS#MYRICETIN
FABACEAE#LATHYRUS PRATENSIS#MYRICETIN#MYRICETIN-3-ARABINOSIDE#MYRICETIN-3-DIGLUCOSIDE#MYRICETIN-3-O-BETA-D-DIGLUCOSIDE
FABACEAE#MEDICAGO ACULEATA_VAR.INERMIS#MYRICETIN
FABACEAE#MEDICAGO ARABICA#MYRICETIN
FABACEAE#MEDICAGO ARBOREA#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-5'-METHYL ETHER
FABACEAE#MEDICAGO BLANCHEANA_VAR.BONAROTIANA#MYRICETIN
FABACEAE#MEDICAGO CAERULEA#MYRICETIN
FABACEAE#MEDICAGO CANCELLATA#MYRICETIN
FABACEAE#MEDICAGO CRETACEA#MYRICETIN
FABACEAE#MEDICAGO FALCATA#MYRICETIN
FABACEAE#MEDICAGO GLANDULOSA#MYRICETIN
FABACEAE#MEDICAGO GLUTINOSA_SSP.GLUTINOSA#MYRICETIN
FABACEAE#MEDICAGO HEMICYCLA#MYRICETIN
FABACEAE#MEDICAGO HYBRIDA#MYRICETIN
FABACEAE#MEDICAGO INTERTEXTA_VAR.INTERTEXTA#MYRICETIN
FABACEAE#MEDICAGO LACINIATA_VAR.LACINIATA#MYRICETIN
FABACEAE#MEDICAGO LUPULINA#MYRICETIN
FABACEAE#MEDICAGO MUREX_VAR.MUREX#MYRICETIN
FABACEAE#MEDICAGO NIGRA_VAR.NIGRA#MYRICETIN
FABACEAE#MEDICAGO ORBICULARIS#MYRICETIN
FABACEAE#MEDICAGO RADIATA#MYRICETIN
FABACEAE#MEDICAGO ROMANICA#MYRICETIN
FABACEAE#MEDICAGO ROTATA_VAR.ROTATA#MYRICETIN
FABACEAE#MEDICAGO SATIVA#MYRICETIN
FABACEAE#MEDICAGO SCUTELLATA#MYRICETIN
FABACEAE#MEDICAGO TRUNCATULA_VAR.TRUNCATULA#MYRICETIN
FABACEAE#MEDICAGO TURBINATA_VAR.TURBINATA#MYRICETIN
FABACEAE#MEDICAGO VARIA#MYRICETIN
FABACEAE#MELILOTUS ITALICA#MYRICETIN
FABACEAE#MELILOTUS MESSANENSIS#MYRICETIN
FABACEAE#MELILOTUS OFFICINALIS#MYRICETIN
FABACEAE#MELILOTUS SULCATA#MYRICETIN
FABACEAE#MELILOTUS WOLGICA#MYRICETIN
FABACEAE#MILLETTIA RACEMOSA#MYRICETIN
FABACEAE#MIMOSA PUDICA#MYRICETIN
FABACEAE#MOGHANIA FAGINEA#MYRICETIN-3-O-(BETA-D-XYLOPYRANOSYL(1-2)-ALPHA-L-RHAMNOPYRANOSIDE)
FABACEAE#ONOBRYCHIS VICIAEFOLIA#MYRICETIN-3-RUTINOSIDE
FABACEAE#OXYTROPIS GLABRA#MYRICETIN-3-O-BETA-D-GLUCOPYRANOSIDE
FABACEAE#PARKIA CLAPPERTONIANA#MYRICETIN
FABACEAE#PELTOPHORUM AFRICANUM#MYRICETIN#MYRICETIN-3-O-BETA-D-RUTINOSIDE#MYRICETIN-3-RUTINOSIDE
FABACEAE#PROSOPIS ARGENTINA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#PROSOPIS REPTANS_VAR.CINERASCENS#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#PROSOPIS REPTANS_VAR.REPTANS#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#SHUTERIA PAMPANINIANA#MYRICETIN
FABACEAE#SHUTERIA VESTITA#MYRICETIN
FABACEAE#TACHIGALI PANICULATA#MYRICETIN-7-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-7-O-BETA-D-GLUCOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE
FABACEAE#TETRAGONOLOBUS SILIQUOSUS#MYRICETIN
FABACEAE#TRIFOLIUM REPENS#MYRICETIN#MYRICETIN-3-O-(6''-ACETYL)-BETA-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FABACEAE#TRIGONELLA CALLICERAS#MYRICETIN
FABACEAE#TRIGONELLA CORNICULATA#MYRICETIN
FABACEAE#TRIGONELLA CRETICA#MYRICETIN
FABACEAE#TRIGONELLA GEMINIFLORA#MYRICETIN
FABACEAE#TRIGONELLA MONSPELIACA#MYRICETIN
FABACEAE#TRIGONELLA NOEANA#MYRICETIN
FABACEAE#TRIGONELLA POLYCERATA#MYRICETIN
FABACEAE#VICIA FABA#MYRICETIN
FABACEAE#VIGNA PEDUNCULARIS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
FAGACEAE#CASTANEA MOLLISSIMA#MYRICETIN
FAGACEAE#CASTANEA VULGARIS#MYRICETIN
FAGACEAE#NOTHOFAGUS ANTARCTICA#MYRICETIN-3'-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3-O-ALPHA-L-ARABINOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE
FAGACEAE#QUERCUS ILEX#MYRICETIN-3-O-RUTINOSIDE
GENTIANACEAE#EUSTOMA GRANDIFLORUM#MYRICETIN-3-O-BETA-D-[6-O-RHAMNOPYRANOSYL-4-O-CIS-PARA-COUMAROYL-GALACTOPYRANOSIDE]-7-O-ALPHA-L-RHAMNOPYRANOSIDE#MYRICETIN-3-O-BETA-D-[6-O-RHAMNOPYRANOSYL-4-O-TRANS-PARA-COUMAROYL-GALACTOPYRANOSIDE]-7-O-ALPHA-L-RHAMNOPYRANOSIDE
GENTIANACEAE#EUSTOMA GRANDIFLORUM_CV.KIRI#MYRICETIN-3-PARA-COUMAROYL-RHAMNOSYL-GALACTOSIDE-7-RHAMNOSIDE#MYRICETIN-3-RHAMNOSYL-GALACTOSIDE-7-RHAMNOSIDE
GENTIANACEAE#EUSTOMA GRANDIFLORUM_CV.MARASAKI,#MYRICETIN-3-PARA-COUMAROYL-RHAMNOSYL-GALACTOSIDE-7-RHAMNOSIDE#MYRICETIN-3-RHAMNOSYL-GALACTOSIDE-7-RHAMNOSIDE
GENTIANACEAE#EUSTOMA GRANDIFLORUM_CV.MOMO#MYRICETIN-3-PARA-COUMAROYL-RHAMNOSYL-GALACTOSIDE-7-RHAMNOSIDE#MYRICETIN-3-RHAMNOSYL-GALACTOSIDE-7-RHAMNOSIDE
GENTIANACEAE#GENTIANELLA ALBOROSEA#MYRICETIN
GERANIACEAE#GERANIUM ERISTEMON#MYRICETIN
GERANIACEAE#GERANIUM PRATENSE#MYRICETIN-3-O-(2''-O-GALLOYL)-BETA-D-GALACTOPYRANOSIDE
GERANIACEAE#GERANIUM PRATENSE_SSP.FINITIMUM#MYRICETIN-3-O-(2''-O-GALLOYL)-BETA-D-GLUCOPYRANOSIDE
GERANIACEAE#GERANIUM SANGUINEUM#MYRICETIN
GERANIACEAE#PELARGONIUM ASPERUM#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
GERANIACEAE#PELARGONIUM RENIFORME#MYRICETIN-3-O-BETA-D-GLUCOPYRANOSIDE
GINKGOACEAE#GINKGO BILOBA#MYRICETIN#MYRICETIN,3'-METHYL: 3-O-[6-O-ALPHA-L-RHAMNOSYL)-BETA-D-GLUCOSIDE]#MYRICETIN,3'-O-METHYL-H: 3-O-ALPHA-L-RHAMNOSIDE#MYRICETIN,4'-O-METHYL: 3-O-(6-O-ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3-O-[6-O-(ALPHA-L-RHAMNOSYL)-BETA-D-GLUCOSIDE]
HAMAMELIDACEAE#HAMAMELIS VIRGINIANA#MYRICETIN
HAMAMELIDACEAE#LIQUIDAMBAR FORMOSANA#MYRICETIN-3-O-(6''-O-GALLOYL)-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-GLUCOSIDE
HAMAMELIDACEAE#LOROPETALUM CHINENSE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
HIPPOCASTANACEAE#AESCULUS CARNEA#MYRICETIN-3'-4'-7-TRIMETHYL ETHER
HIPPOCASTANACEAE#AESCULUS HIPPOCASTANUM#MYRICETIN-3'-4'-7-TRIMETHYL ETHER
HIPPOCASTANACEAE#AESCULUS INDICA#MYRICETIN-3'-4'-7-TRIMETHYL ETHER
HIPPOCASTANACEAE#AESCULUS TURBINATA#MYRICETIN-3'-4'-7-TRIMETHYL ETHER
HYDROPHYLLACEAE#HYDROPHYLLUM TENUIPES#MYRICETIN
HYDROPHYLLACEAE#HYDROPHYLLUM VIRGINICUM#MYRICETIN
HYPOXIDACEAE#CURCULIGO ORCHIOIDES#MYRICETIN,5-7-DIMETHOXY: 3-O-ALPHA-L-XYLOSYL-4-O-BETA-D-GLUCOSIDE
IRIDACEAE#CROCUS CHRYSANTHUS_X_CROCUS_BIFLORUS_CV.SPRI#MYRICETIN-3-O-ALPHA-L-(D-O-BETA-D-GLUCOPYRANOSYL)-RHAMNOPYRANOSIDE-7-O-BETA-D-GLUCOPYRANOSIDE
IRIDACEAE#KLATTIA PARTITA_VAR.FLAVA#MYRICETIN
IRIDACEAE#PATERSONIA LONGIFOLIA#MYRICETIN
IRIDACEAE#PATERSONIA LONGISCAPA#MYRICETIN
IRIDACEAE#PATERSONIA OCCIDENTALIS#MYRICETIN
IRIDACEAE#PATERSONIA SERICEA#MYRICETIN
IRIDACEAE#WITSENIA MAURA#MYRICETIN
JUGLANDACEAE#JUGLANS MANDSHURICA#MYRICETIN
JUGLANDACEAE#JUGLANS NIGRA#MYRICETIN
JUGLANDACEAE#PLATYCARYA STROBILACEA#MYRICETIN
LAMIACEAE#LAGOCHILUS PLATYCALYX#MYRICETIN
LAMIACEAE#LEONURUS JAPONICUS#MYRICETIN
LAMIACEAE#VITEX NEGUNDO#MYRICETIN,4'-O-METHYL: 3-O-(4''-O-BETA-D-GALACTOSYL)-BETA-D-GALACTOSIDE
LAURACEAE#CINNAMOMUM TAMALA#MYRICETIN
LAURACEAE#MACHILUS BOMBYCINA#MYRICETIN
LILIACEAE#ERYTHRONIUM SIBIRICUM#MYRICETIN
LIMNANTHACEAE#LIMNANTHES DOUGLASII_VAR.DOUGLASII#MYRICETIN-3'-METHYL-ETHER-3-O-ALPHA-L-RHAMNORUTINOSIDE#MYRICETIN-3'-METHYL-ETHER-3-O-BETA-D-RUTINOSIDE#MYRICETIN-3'-METHYL-ETHER-3-O-BETA-D-RUTINOSYL-7-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-ALPHA-L-RHAMNORUTINOSIDE#MYRICETIN-3-O-BETA-D-RUTINOSIDE#MYRICETIN-3-O-BETA-D-RUTINOSYL-7-O-BETA-D-GLUCOSIDE
LOWIACEAE#ORCHIDANTHA MAXILLARIOIDES#MYRICETIN
LYTHRACEAE#DIPLUSODON ASTICTUS#MYRICETIN-3-O-ARABINOSIDE
LYTHRACEAE#DIPLUSODON CILIFLORUS#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE
LYTHRACEAE#DIPLUSODON GLAUCESCENS#MYRICETIN-3-O-GALACTOSYL-RHAMNOSIDE
LYTHRACEAE#DIPLUSODON HEXANDER#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE
LYTHRACEAE#DIPLUSODON MYRSINITES#MYRICETIN-3-O-GALACTOSYL-GLUCOSIDE
LYTHRACEAE#DIPLUSODON ROTUNDIFOLIUS#MYRICETIN-3-O-ARABINOSYL-GLUCOSIDE#MYRICETIN-3-O-GLUCOSYL-GLUCURONIDE#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE#MYRICETIN-3-O-GLUCOSYL-XYLOSIDE
LYTHRACEAE#DIPLUSODON SORDIDUS#MYRICETIN-3-O-GALACTOSYL-RHAMNOSIDE#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE
LYTHRACEAE#DIPLUSODON SPECIOSUS#MYRICETIN-3-O-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
LYTHRACEAE#DIPLUSODON UNINERVIUS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
LYTHRACEAE#WOODFORDIA FLORIBUNDA#MYRICETIN-3-O-(6''-GALLOYL)-BETA-D-GALACTOSIDE#MYRICETIN-3-O-ALPHA-L-ARABINOSIDE
MALVACEAE#ABUTILON THEOPHRASTI#MYRICETIN
MALVACEAE#HIBISCUS CANNABINUS#MYRICETIN-3'-O-ALPHA-D-GLUCOSIDE
MALVACEAE#HIBISCUS MANIHOT#MYRICETIN
MALVACEAE#HIBISCUS SABDARIFFA#MYRICETIN
MARANTACEAE#CALATHEA ANGUSTIFOLIA#MYRICETIN#MYRICETIN-3-O-BETA-D-RUTINOSIDE#MYRICETIN-3-O-BETA-GLUCOSIDE
MARANTACEAE#CALATHEA INSIGNIS#MYRICETIN
MARANTACEAE#CALATHEA WARSCEWICZII#MYRICETIN
MARANTACEAE#CTENANTHE KUMMERIANA#MYRICETIN
MARANTACEAE#CTENANTHE OPPENHEIMIANA#MYRICETIN
MARANTACEAE#MONOTAGMA SPICATUM#MYRICETIN
MARCGRAVIACEAE#NORANTEA GUIANENSIS#MYRICETIN-3-ARABINOSIDE#MYRICETIN-3-GALACTOSIDE
MELASTOMATACEAE#MELASTOMA NORMALE#MYRICETIN
MELIACEAE#AGLAIA ROXBURGHIANA#MYRICETIN
MELIACEAE#AZADIRACHTA INDICA#MYRICETIN#MYRICETIN-3-O-RUTINOSIDE
MELIACEAE#SOYMIDA FEBRIFUGA#MYRICETIN
MORACEAE#FICUS ALTISSIMA#MYRICETIN HEXAMETHYL ETHER
MYRICACEAE#MYRICA CERIFERA#MYRICETIN
MYRICACEAE#MYRICA ESCULENTA#MYRICETIN#MYRICETIN-3-O-(2''-O-GALLOYL)-ALPHA-L-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(2''-O-GALLOYL)-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-(3''-O-GALLOYL)-ALPHA-L-RHAMNOPYRANOSIDE
MYRICACEAE#MYRICA GALE_VAR.TOMENTOSA#MYRICETIN-3-O-(6''-GALLOYL)-BETA-D-GALACTOPYRANOSIDE
MYRICACEAE#MYRICA NANA#MYRICETIN#MYRICETIN-3-O-ALPHA-L-ARABINOPRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE
MYRICACEAE#MYRICA RUBRA#MYRICETIN#MYRICETIN-3-O-ALPHA-RHAMNOSIDE
MYRSINACEAE#ARDISIA COLORATA#MYRICETIN
MYRSINACEAE#EMBELIA KENIENSIS#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
MYRSINACEAE#EMBELIA SCHIMPERI#MYRICETIN
MYRSINACEAE#MAESA LANCEOLATA#MYRICETIN#MYRICETIN-3-O-BETA-2''-3''-4''-TRIACETYL-XYLOPYRANOSIDE#MYRICETIN-3-O-BETA-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-XYLOPYRANOSYL(1-3)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-XYLOPYRANOSIDE
MYRSINACEAE#MYRSINE AFRICANA#MYRICETIN#MYRICETIN-3-(3''-4''-DIACETYL-RHAMNOSIDE)#MYRICETIN-3-ARABINOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-XYLOSIDE#MYRICETIN-7-RHAMNOSIDE
MYRSINACEAE#MYRSINE SEGUINII#MYRICETIN-3'-4-DIRHAMNOSIDE#MYRICETIN-3-4'-DIRHAMNOSIDE#MYRICETIN-3-RHAMNOSIDE-3'-GLUCOSIDE
MYRTACEAE#BAECKEA FRUTESCENS#MYRICETIN
MYRTACEAE#CAMPOMANESIA ADAMANTIUM#MYRICETIN
MYRTACEAE#EUCALYPTUS CAMALDULENSIS#MYRICETIN#MYRICETIN-3-O-ALPHA-ARABINOPYRANOSIDE
MYRTACEAE#EUCALYPTUS OCCIDENTALIS#MYRICETIN-3-GLUCURONIDE
MYRTACEAE#EUGENIA AXILLARIS#MYRICETIN
MYRTACEAE#EUGENIA BRASILIENSIS#MYRICETIN
MYRTACEAE#EUGENIA CASTANEA#MYRICETIN
MYRTACEAE#EUGENIA CHOAPAMENSIS#MYRICETIN
MYRTACEAE#EUGENIA DOUBLEDAYI#MYRICETIN
MYRTACEAE#EUGENIA EDULIS#MYRICETIN-3-3'-5-TRIMETHYL ETHER#MYRICETIN-3-O-ALPHA-RHAMNOSIDE
MYRTACEAE#EUGENIA GLOMERATA#MYRICETIN
MYRTACEAE#EUGENIA GRANDIS#MYRICETIN
MYRTACEAE#EUGENIA HIRTA#MYRICETIN
MYRTACEAE#EUGENIA LEUCOXYLON#MYRICETIN
MYRTACEAE#EUGENIA MUGIENSIS#MYRICETIN
MYRTACEAE#EUGENIA PAPILLOSA#MYRICETIN
MYRTACEAE#EUGENIA PRASINA#MYRICETIN
MYRTACEAE#EUGENIA SPICATA#MYRICETIN
MYRTACEAE#EUGENIA UNIFLORA#MYRICETIN#MYRICETIN-3-O-(3''-O-ACETYL)-ALPHA-L-RHAMNOSIDE#MYRICETIN-3-O-ALPHA-RHAMNOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE
MYRTACEAE#EUGENIA VIRENS#MYRICETIN
MYRTACEAE#HEXACHLAMYS EDULIS#MYRICETIN-3-O-ALPHA-L-ARABINOPYRANOSIDE#MYRICETIN-3-O-BETA-D-XYLOSIDE
MYRTACEAE#KUNZEA AMBIGUA#MYRICETIN-3-O-BETA-GALACTOPYRANOSIDE
MYRTACEAE#MELALEUCA LEUCADENDRON#MYRICETIN
MYRTACEAE#MELALEUCA QUINQUENERVIA#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONIDE
MYRTACEAE#MYRTUS COMMUNIS#MYRICETIN#MYRICETIN-3'-GLUCOSIDE#MYRICETIN-3-3'-DIGALACTOSIDE#MYRICETIN-3-3-DI-O-GALACTOSIDE#MYRICETIN-3-BETA-D-(6''-O-GALLOYL)-GALACTOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE#MYRICETIN-3-O-RHAMNOGLUCOSIDE#MYRICETIN-3-RHAMNOGLUCOSIDE#MYRICETIN-3-RUTINOSIDE
MYRTACEAE#PIMENTA DIOICA#MYRICETIN#MYRICETIN-3-O-GALACTOSIDE
MYRTACEAE#PLINIA PENNATA#MYRICETIN
MYRTACEAE#PSIDIUM GUAJAVA#MYRICETIN
MYRTACEAE#RHODOMYRTUS TOMENTOSA#MYRICETIN-3-O-ALPHA-L-FURANOARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
MYRTACEAE#SYZYGIUM AROMATICUM#MYRICETIN
