FABACEAE#CRASPEDOLOBIUM SCHOCHII#GENISTEIN
FABACEAE#CROTALARIA FALCATA#GENISTEIN
FABACEAE#CROTALARIA RETUSA#GENISTEIN
FABACEAE#CROTALARIA THEBAICA#GENISTEIN#GENISTEIN-8-C-GLUCOSIDE
FABACEAE#CYTISUS SCOPARIUS#GENISTEIN#GENISTEINE
FABACEAE#DALBERGIA FRUTESCENS#GENISTEIN
FABACEAE#DALBERGIA MONETARIA#GENISTEIN,6-8-BIS-BETA-D-GLUCOPYRANOSYL:
FABACEAE#DALBERGIA NITIDULA#GENISTEIN-8-C-BETA-D-GLUCOSIDE
FABACEAE#DALBERGIA OLIVERI#GENISTEIN
FABACEAE#DALBERGIA PANICULATA#GENISTEIN-6-8-DI-C-GLUCOSIDE
FABACEAE#DALBERGIA PARVIFLORA#GENISTEIN
FABACEAE#DALBERGIA SISSOO#GENISTEIN#GENISTEIN-8-C-(BETA-D-GLUCOPYRANOSIDE)
FABACEAE#DERRIS SCANDENS#GENISTEIN#GENISTEIN-7-O-ALPHA-RHAMNOSYL(1-6)-BETA-D-GLUCOSIDE#GENISTEIN-7-O-[ALPHA-RHAMNOPYRANOSYL(1-6)]-BETA-GLUCOPYRANOSIDE
FABACEAE#DESMODIUM OXYPHYLLUM#GENISTEIN
FABACEAE#DESMODIUM UNCINATUM#GENISTEIN
FABACEAE#DESMODIUM VELUTINUM#GENISTEIN
FABACEAE#ECHINOSOPHORA KOREENSIS#GENISTEIN
FABACEAE#ECHINOSPARTUM HORRIDUM#GENISTEIN#GENISTEIN,5-O-METHYL:
FABACEAE#ERIOSEMA TUBEROSUM#GENISTEIN#GENISTEIN,5-O-METHYL:#GENISTEIN,5-O-METHYL: 7-O-BETA-D-APIOFURANOSYL(1-6)-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN,5-O-METHYL: 7-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN-7-O-BETA-D-APIOFURANOSYL(1-6)-O-BETA-D-GLUCOPYRANOSIDE
FABACEAE#ERYTHRINA ARBORESCENS#GENISTEIN
FABACEAE#ERYTHRINA BURTTII#GENISTEIN
FABACEAE#ERYTHRINA INDICA#GENISTEIN
FABACEAE#ERYTHRINA POEPPIGIANA#GENISTEIN,3'-ISOPRENYL:
FABACEAE#ERYTHRINA SENEGALENSIS#GENISTEIN,6-8-DIPRENYL:
FABACEAE#ERYTHRINA SIGMOIDEA#GENISTEIN,6-8-DIPRENYL:
FABACEAE#EUCHRESTA FORMOSANA#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#EUCHRESTA HORSFIELDII#GENISTEIN,6-8-DI-(3-3-DIMETHYL-ALLYL):#GENISTEIN,6-8-DI-(3-METHYL-2-BUTENYL):
FABACEAE#FLEMINGIA PANICULATA#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#FLEMINGIA PHILIPPINENSIS#GENISTEIN
FABACEAE#FLEMINGIA STRICTA#GENISTEIN
FABACEAE#FLEMINGIA VESTITA#GENISTEIN
FABACEAE#GENISTA ACANTHOCLADA#GENISTEIN
FABACEAE#GENISTA ALBIDA#GENISTEIN
FABACEAE#GENISTA ANATOLICA#GENISTEIN
FABACEAE#GENISTA AUCHERI#GENISTEIN#GENISTEINE
FABACEAE#GENISTA BURDURENSIS#GENISTEIN
FABACEAE#GENISTA CARINALIS#GENISTEIN
FABACEAE#GENISTA CINEREA_SSP.CINEREA#GENISTEIN-6-C-GLUCOSIDE#GENISTEIN-8-C-GLUCOSIDE
FABACEAE#GENISTA DEPRESSA#GENISTEIN
FABACEAE#GENISTA EPHEDROIDES#GENISTEIN#GENISTEIN-8-C-GLUCOSIDE
FABACEAE#GENISTA INVOLUCRATA#GENISTEIN
FABACEAE#GENISTA JANUENSIS#GENISTEIN,5-O-METHYL:
FABACEAE#GENISTA LIBANOTICA#GENISTEIN
FABACEAE#GENISTA LYDIA_VAR.ANTIOCHIA#GENISTEIN
FABACEAE#GENISTA LYDIA_VAR.LYDIA#GENISTEIN
FABACEAE#GENISTA MORISII#GENISTEIN#GENISTEIN-4'-7-DI-O-BETA-D-GLUCOSIDE#GENISTEIN-7-O-BETA-D-GLUCOPYRANOSIDE
FABACEAE#GENISTA OVATA#GENISTEIN
FABACEAE#GENISTA RUMELICA#GENISTEIN#GENISTEIN,5-METHYL:
FABACEAE#GENISTA SESSILIFOLIA#GENISTEIN#GENISTEINE
FABACEAE#GENISTA TENERA#GENISTEIN
FABACEAE#GENISTA TINCTORIA#GENISTEIN#GENISTEINE
FABACEAE#GENISTA TRIDENTATA#GENISTEIN
FABACEAE#GLYCINE CANESCENS#GENISTEIN
FABACEAE#GLYCINE CLANDESTINA#GENISTEIN
FABACEAE#GLYCINE FALCATA#GENISTEIN
FABACEAE#GLYCINE LATIFOLIA#GENISTEIN
FABACEAE#GLYCINE MAX#GENISTEIN#GENISTEIN,8-(GAMMA-HYDROXY-GAMMA-GAMMA-DIMETHYL-PROPYL): 7-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN,MALONYL:#GENISTEIN-7-O-BETA-D-(6''-O-ACETYL-GLUCOPYRANOSIDE)
FABACEAE#GLYCINE MAX_CV.WAYNE#GENISTEIN
FABACEAE#GLYCINE TABACINA#GENISTEIN
FABACEAE#GLYCINE TOMENTELLA#GENISTEIN
FABACEAE#GLYCYRRHIZA GLABRA#GENISTEIN#GENISTEIN,3'-6-(DIMETHYL-ALLYL):#GENISTEIN,6-8-DIPRENYL:
FABACEAE#GLYCYRRHIZA SPECIES#GENISTEIN
FABACEAE#GLYCYRRHIZA URALENSIS#GENISTEIN
FABACEAE#GOEBELIA PACHYCARPA#GENISTEIN#GENISTEIN-7-O-XYLOGLUCOSIDE
FABACEAE#LABURNUM ANAGYROIDES#GENISTEIN#GENISTEIN,5-O-METHYL:#GENISTEINE
FABACEAE#LESPEDEZA CUNEATA#GENISTEIN
FABACEAE#LESPEDEZA CYRTOBOTRYA#GENISTEIN
FABACEAE#LESPEDEZA FLORIBUNDA#GENISTEIN
FABACEAE#LESPEDEZA MARITIMA#GENISTEIN
FABACEAE#LESPEDEZA NAKAII#GENISTEIN
FABACEAE#LONCHOCARPUS UTILIS#GENISTEIN
FABACEAE#LUPINUS ALBUS#GENISTEIN#GENISTEIN,2'-HYDROXY:#GENISTEIN,2'-HYDROXY: 7-O-BETA-D-GLUCOSIDE#GENISTEIN,5-METHOXY:
FABACEAE#LUPINUS ALBUS_CV.BAC#GENISTEIN#GENISTEIN,2'-HYDROXY:#GENISTEIN-7-O-GLUCOSIDE-6''-MALONATE
FABACEAE#LUPINUS ALBUS_CV.DANJA#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS ALBUS_CV.GUNGURRU#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS ALBUS_CV.KIEVSKIJ#FABACEAE#GENISTEIN#GENISTEIN,1'-HYDROXY: 7-O-BETA-(6''-O-MALONYL)-GLUCOSIDE#GENISTEIN,2'-HYDROXY:#GENISTEIN,2'-HYDROXY: 4'-O-BETA-(6''-O-MALONYL)-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 4'-O-BETA-D-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-BETA-D-GLUCOSIDE#GENISTEIN-4'-O-BETA-(6''-O-MALONYL)-GLUCOSIDE#GENISTEIN-4'-O-BETA-D-GLUCOSIDE#GENISTEIN-7-O-BETA-(6''-O-MALONYL))GLUCOSIDE#LUPINUS ALBUS_CV.KIEVSKIJ
FABACEAE#LUPINUS ALBUS_CV.VLADIMIR#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS ANGUSTIFOLIUS#GENISTEIN#GENISTEIN,5-METHOXY:#GENISTEIN-7-O-BETA-D-GLUCOSYL-GLUCOSIDE
FABACEAE#LUPINUS ANGUSTIFOLIUS_CV.MIRELA#GENISTEIN,2''-HYDROXY:
FABACEAE#LUPINUS ANGUSTIFOLIUS_CV.TIFBLUE-78#GENISTEIN
FABACEAE#LUPINUS ANGUSTIFOLIUS_CV.UNIHARVEST#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS ARBOREUS#GENISTEIN
FABACEAE#LUPINUS ARCTICUS#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS ELEGANS#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS HARTWEGII#GENISTEIN-4'-7-DI-O-BETA-GLUCOPYRANOSIDE#GENISTEIN-7-O-BETA-D-GLUCOPYRANOSIDE
FABACEAE#LUPINUS HARTWEGII_STRAIN_LUHA_15834#7-O-GLUCOSIDE#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY:#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS HARTWEGII_STRAIN_LUHA_30150#7-O-GLUCOSIDE#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY:#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-4'-7-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS HARTWEGII_STRAIN_LUHA_B653#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS HARTWEGII_STRAIN_LUHA_BACTERIAL#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS HARTWEGII_STRAIN_LUHA_C58#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS HARTWEGII_STRAIN_LUHA-15834_HAIRY#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN-4'-7-DI-O-GLUCOSIDE
FABACEAE#LUPINUS HIRSUTUS#GENISTEIN
FABACEAE#LUPINUS LUTEUS#GENISTEIN#GENISTEIN,5-METHOXY:#GENISTEIN,5-O-METHYL: 4'-7-DI-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN,8-C-GLUCOPYRANOSYL:#GENISTEIN,8-C-GLUCOPYRANOSYL: 4'-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN-4'-7-DI-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN-8-C-8-D-GLUCOSIDE#GENISTEIN-8-C-GLUCOSIDE#GENISTEIN-C-MONOGLUCOSIDE
FABACEAE#LUPINUS LUTEUS_CV.BARPINE#GENISTEIN#GENISTEIN,2'-HYDROXY:#GENISTEIN,5-O-METHYL:
FABACEAE#LUPINUS LUTEUS_CV.VENTUS#GENISTEIN-4'-7-O-DIGLUCOPYRANOSIDE
FABACEAE#LUPINUS LUTEUS_VAR.ACADEMICHESKI#GENISTEIN-C-GLYCOSIDE
FABACEAE#LUPINUS LUTEUS_VAR.BELORUSSKII#GENISTEIN#GENISTEIN,5-METHOXY:
FABACEAE#LUPINUS LUTEUS_VAR.BISTRORASTUSHI#GENISTEIN-C-GLYCOSIDE
FABACEAE#LUPINUS NANUS#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#LUPINUS PERENNIS#GENISTEIN-4'-7-O-BETA-D-DIGLUCOSIDE#GENISTEIN-4'-O-BETA-D-GLUCOSIDE
FABACEAE#LUPINUS POLYPHYLLUS#GENISTEIN#GENISTEIN,2'-HYDROXY:#GENISTEIN,2'-HYDROXY: 4'-7-DI-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN,2'-HYDROXY: 7-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN,5-METHOXY:#GENISTEIN-4'-7-DI-O-BETA-D-GLUCOPYRANOSIDE#GENISTEIN-4'-O-BETA-D-GLUCOPYRANOSIDE
FABACEAE#LUPINUS POLYPHYLLUS_STRAIN_LUPO_15834#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS POLYPHYLLUS_STRAIN_LUPO_30150#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2'-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONY-GLUCOSIDE)#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN,4'-7'-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS POLYPHYLLUS_STRAIN_LUPO_BACTERIAL#GENISTEIN#GENISTEIN,2'-HYDROXY-3'-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY-3-DIMETHYL-ALLYL: 7-(6'''-MALONYL-2''-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 6-DIMETHYL-ALLYL: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-(6'''-MALONYL-GLUCOSIDE):#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN-4'-7-DI-O-GLUCOSIDE#GENISTEIN-7-O-(6'''-MALONYL-GLUCOSIDE)
FABACEAE#LUPINUS POLYPHYLLUS_STRAIN_LUPO-15834_HAIRY#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN-4'-7-DI-O-GLUCOSIDE
FABACEAE#LUPINUS POLYPHYLLUS_STRAIN_LUPO-30150_SUSPENSION#GENISTEIN,2'-HYDROXY: 2'-7-DI-O-GLUCOSIDE#GENISTEIN,2'-HYDROXY: 7-O-GLUCOSIDE#GENISTEIN-4'-7-DI-O-GLUCOSIDE
FABACEAE#LUPINUS PUBESCENS#GENISTEIN#GENISTEIN,2'-HYDROXY:#GENISTEIN-4'-O-BETA-D-GLUCOSIDE
FABACEAE#LUPINUS SUBCARNOSUS#GENISTEIN
FABACEAE#LUPINUS TEXENSIS#GENISTEIN
FABACEAE#MAACKIA AMURENSIS#GENISTEIN
FABACEAE#MAACKIA FAURIEI#GENISTEIN
FABACEAE#MAACKIA TENUIFOLIA#GENISTEIN
FABACEAE#MEDICAGO HISPIDA#GENISTEIN
FABACEAE#MEDICAGO SATIVA#GENISTEIN
FABACEAE#MEDICAGO SATIVA_CV.DUNAVKA#GENISTEIN
FABACEAE#MOGHANIA MACROPHYLLA#GENISTEIN
FABACEAE#MOGHANIA PHILIPPINENSIS#GENISTEIN#GENISTEIN,2'-HYDROXY:#GENISTEIN,8-(1-1-DIMETHYL-ALLYL):
FABACEAE#MUCUNA CINEREA#GENISTEIN
FABACEAE#MUCUNA MEMBRANACEA#GENISTEIN
FABACEAE#ONONIS SPINOSA#GENISTEIN
FABACEAE#ORMOSIA MONOSPERMA#GENISTEIN#GENISTEIN,5-O-METHYL:
FABACEAE#OUGEINIA DALBERGIOIDES#GENISTEIN
FABACEAE#PERICOPSIS LAXIFLORA#GENISTEIN
FABACEAE#PHASEOLUS COCCINEUS_VAR.SCARLET#GENISTEIN#GENISTEIN,2'-HYDROXY:
FABACEAE#PHASEOLUS VULGARIS#GENISTEIN,2'-HYDROXY:
FABACEAE#PHASEOLUS VULGARIS_CV.RED#GENISTEIN
FABACEAE#PISCIDIA PISCIPULA#GENISTEIN,3'-5'-DIPRENYL:
FABACEAE#PITHECELLOBIUM DULCE#GENISTEIN-4'-O-ALPHA-L-RHAMNOPYRANOSIDE
FABACEAE#PSEUDOSOPHORA ALOPECUROIDES#GENISTEIN
FABACEAE#PSORALEA CORYLIFOLIA#GENISTEIN
FABACEAE#PTEROCARPUS ANGOLENSIS#GENISTEIN
FABACEAE#PTEROSPARTUM TRIDENTATUM#GENISTEIN
FABACEAE#PUERARIA LOBATA#GENISTEIN#GENISTEIN 8-C-APIOSYL-(1-6)-GLUCOSIDE#GENISTEIN 8-C-GLUCOSIDE#GENISTEIN,8-C-GLUCOSYL:#GENISTEIN-8-C-GLUCOSIDE,6''-O-MALONYL:#GENISTEIN-8-GLUCOSIDE
FABACEAE#PUERARIA MIRIFICA#GENISTEIN
FABACEAE#PUERARIA OMEIENSIS#GENISTEIN
FABACEAE#PUERARIA PEDUNCULARIS#GENISTEIN
FABACEAE#PUERARIA PSEUDO-HIRSUTA#GENISTEIN
FABACEAE#PUERARIA THOMSONII#GENISTEIN
FABACEAE#PUERARIA TUBEROSA#GENISTEIN
FABACEAE#RETAMA RAETAM_VAR.BOVEI#GENISTEIN#GENISTEIN,O-METHYL:#GENISTEIN,O-METHYL: 7-O-BETA-D-GLUCOSIDE
FABACEAE#RETAMA SPHAEROCARPA#GENISTEIN
FABACEAE#SOPHORA FLAVESCENS#GENISTEIN
