Salvia splendens, 121788781, LOW QUALITY PROTEIN: flavonol 3-O-glucosyltransferase F3GT2-like  [EC], ['EC:2.4.1.115'], KO:K12930
Salvia splendens, 121788785, flavonol 3-O-glucosyltransferase F3GT2-like  [EC], ['EC:2.4.1.115'], KO:K12930
Salvia splendens, 121794192, flavonol 3-O-glucosyltransferase F3GT2-like  [EC], ['EC:2.4.1.115'], KO:K12930
Salvia splendens, 121797198, flavonol 3-O-glucosyltransferase F3GT2-like  [EC], ['EC:2.4.1.115'], KO:K12930
Salvia splendens, 121787691, anthocyanidin 3-O-glucoside 6''-O-acyltransferase-like  [EC], ['EC:2.3.1.215'], KO:K21383
Salvia splendens, 121802934, anthocyanidin 3-O-glucoside 6''-O-acyltransferase-like  [EC], ['EC:2.3.1.215'], KO:K21383
Salvia splendens, 121784110, anthocyanidin 3-O-glucoside 6''-O-acyltransferase-like  [EC], ['EC:2.3.1.215'], KO:K21383
Salvia splendens, 121759295, malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase  [EC], ['EC:2.3.1.172'], KO:K12934
Salvia splendens, 121782908, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase  [EC], ['EC:2.3.1.214'], KO:K12935
