Cucurbita moschata, 111449787, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111434476, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111449784, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111455613, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111441436, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita moschata, 111452626, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita moschata, 111456058, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita moschata, 111441477, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita moschata, 111442011, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita moschata, 111452574, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita moschata, 111461573, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cucurbita moschata, 111433130, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cucurbita moschata, 111440398, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cucurbita moschata, 111463105, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Cucurbita moschata, 111450048, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443875, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443892, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443897, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443906, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443926, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443843, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443858, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111443866, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita moschata, 111447155, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111459811, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111430692, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111434958, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111434959, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111446462, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111450976, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita moschata, 111456910, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita moschata, 111433979, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita moschata, 111433029, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita moschata, 111464561, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cucurbita moschata, 111461155, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111451799, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111456981, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111436447, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
