ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
ACERACEAE#ACER LOBELII#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER LONGIPES#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER MACROPHYLLUM#CYANIDIN-3-O-[2''-O-(BETA-D-XYLOPYRANOSYL)-6''-O-(ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE]
ACERACEAE#ACER MANDSHURICUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER MAXIMOWICZII#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER MICRANTHUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER MIYABEI#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER MONO#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER MONO_VAR.MAYRII#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER MONSPESSULANUM#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER MORRISONENSE#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER NEGUNDO#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER NIGRUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER NIKOENSE#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER OBLONGUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER OBTUSATUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER OKAMOTOANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER OLIVACEUM#CYANIDIN-3-5-DIGLUCOSIDE
ACERACEAE#ACER OLIVERIANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER OPALUS#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PALMATUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE#CYANIDIN-3-O-(2''-O-(GALLOYL)-6''-O-(L-RHAMNOSYL)-BETA-D-GLUCOSIDE)
ACERACEAE#ACER PALMATUM_VAR.AMOENUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PALMATUM_VAR.MATSUMURAE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PENNSYLVANICUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PENTAPHYLLUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PLATANOIDES#CYANIDIN-3-(2''-3''-DIGALLOYL-BETA-GLUCOPYRANOSIDE)#CYANIDIN-3-(2''-GALLOYL-BETA-D-GLUCOPYRANOSIDE)#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PLATANOIDES_CV.CRIMSON#CYANIDIN-3-O-(2''-O-(GALLOYL)-BETA-D-GLUCOPYRANOSIDE)
ACERACEAE#ACER PSEUDO-SIEBOLDIANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PSEUDO-SIEBOLDIANUM_VAR.KOREANUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
